"","species","x_min","draw","x_max","shape1","shape2","stretch","nu","beta_0","beta_1","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low...17","opt_breadth_high...18","opt_breadth...19","B50_low","B50_high","B50","opt_breadth_low...23","opt_breadth_high...24","opt_breadth...25","x_minBT","x_maxBT","maximaBT","breadthBT","max_RGRBT","speciesn"
"1","1",-18.9052392666667,6000.5,17.3785235,3.85494142083333,3.39541175416667,0.832220269583333,6.029063875,3.22658921908333,1.52669586162775,6.21694258489197,36.2837627666667,30.1441144119338,0.832220269583333,6000.5,1.96195110157509,-2.61518262626263,12.8603876484007,15.4755702746633,30.3848173737374,45.8603876484007,15.4755702746633,1.40221917929293,10.5303456969697,9.12812651767677,14.0947607333333,50.3785235,39.216942584892,36.2837627666667,0.123826853198818,1
"2","2",-18.913020725,6000.5,17.1094477333333,2.87344644583333,4.32993574416667,0.545459618916667,4.03471601416667,3.05357848735833,1.34513484725683,0.225684649319534,36.0224684583333,19.6249060175992,0.545459618916667,18000.5,1.15565923293406,-8.88456704099327,8.56716211860269,17.451729159596,24.1154329590067,41.5671621186027,17.451729159596,-5.00389391826599,5.41258952542088,10.4164834436869,14.086979275,50.1094477333333,33.2256846493195,36.0224684583333,0.0729384366763779,2
"3","3",-18.947018225,6000.5,17.6277555583333,2.81842023166667,3.40732106666667,0.585968562459167,4.0040431925,2.95160307459917,1.25562927529442,2.09133575299332,36.5747737833333,21.3886854356345,0.585968562459167,30000.5,1.17551278524907,-8.06411424225589,10.8909899813973,18.9551042236532,24.9358857577441,43.8909899813973,18.9551042236532,-3.72500813038721,7.66253410606061,11.3875422364478,14.052981775,50.6277555583333,35.0913357529933,36.5747737833333,0.0741914765232996,3
"4","4",-19.0655456,6000.5,17.726268,2.75207262666667,3.05819997333333,0.677320115583333,3.41113704166667,3.25380334979167,1.53777702376567,2.73935773100888,36.7918136,24.8757524734821,0.677320115583333,42000.5,1.30734586701285,-7.99961508661616,11.790220049495,19.7898351361111,25.0003849133838,44.7902200494949,19.7898351361111,-3.40554266153199,8.52405382154882,11.9295964830808,13.9344544,50.726268,35.7393577310089,36.7918136,0.0825120078806845,4
"5","5",-18.9860077083333,6000.5,17.95929395,3.09378589166667,3.19541964833333,1.70180635458333,2.65877795541667,3.0613564851925,1.5937812230415,4.27144957545679,36.9453016583333,62.7823537647785,1.70180635458333,54000.5,3.50353693742569,-5.92148429882155,12.4694420222222,18.3909263210438,27.0785157011784,45.4694420222222,18.3909263210438,-1.44698711279461,9.53859464158249,10.9855817543771,14.0139922916667,50.95929395,37.2714495754568,36.9453016583333,0.221122714872434,5
"6","6",-19.1257343833333,6000.5,17.6979219833333,3.21429506833333,2.88855203916667,1.54584050858333,3.64804898858333,3.12437818135,1.57214753211058,5.4298853591862,36.8236563666667,56.8068514710607,1.54584050858333,66000.5,3.21931848661981,-4.87018208106061,13.2635920936869,18.1337741747475,28.1298179189394,46.2635920936869,18.1337741747475,-0.285613077020202,10.5357781819024,10.8213912589226,13.8742656166667,50.6979219833333,38.4298853591862,36.8236563666667,0.20318451225562,6
"7","7",-18.9018587166667,6000.5,17.699375675,3.174478115,3.6850471875,1.45870097208333,2.49198160883333,3.112888089525,1.51755521202,3.25954108904532,36.6012343916667,53.3115947269973,1.45870097208333,78000.5,3.10977572549713,-6.29810891422559,11.2566673738215,17.5547762880471,26.7018910857744,44.2566673738215,17.5547762880471,-2.11901101557239,8.33544180959596,10.4544528251683,14.0981412833333,50.699375675,36.2595410890453,36.6012343916667,0.19627081527834,7
"8","8",-18.9376586916667,6000.5,17.7470650333333,3.015262335,3.09495711583333,0.683481966441667,2.51884698758333,3.05045736088417,1.44371924525625,3.94207370488719,36.684723725,25.0224399521441,0.683481966441667,90000.5,1.38889594075576,-6.37790325353535,12.3133240257576,18.6912272792929,26.6220967464646,45.3133240257576,18.6912272792929,-1.88269902845118,9.3253875520202,11.2080865804714,14.0623413083333,50.7470650333333,36.9420737048872,36.684723725,0.0876589705147733,8
"9","9",-18.954848225,6000.5,17.7318402166667,3.291853065,3.03748699583333,1.08893716921667,1.70802417725,2.96937682125833,1.50308206299344,5.22474636711886,36.6866884416667,39.8775151195469,1.08893716921667,102000.5,2.30753622876392,-4.78428133106061,12.9882845775253,17.7725659085859,28.2157186689394,45.9882845775252,17.7725659085859,-0.343954231649832,10.2599148227273,10.6038690543771,14.045151775,50.7318402166667,38.2247463671189,36.6866884416667,0.145638160717008,9
"10","10",-19.0937054166667,6000.5,17.6667896583333,3.17846729166667,3.02687163333333,1.38910065791667,2.37555201125,3.07671003789167,1.51943506644458,4.77701866174714,36.760495075,50.9749996488743,1.38910065791667,114000.5,2.87948946361556,-5.43312489537037,12.7755692960438,18.2086941914141,27.5668751046296,45.7755692960438,18.2086941914141,-0.927451461111111,9.95488323207071,10.8823346931818,13.9062945833333,50.6667896583333,37.7770186617471,36.760495075,0.181736496293111,10
