"","species","x_min","draw","x_max","shape1","shape2","stretch","nu","beta_0","beta_1","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low","opt_breadth_high","opt_breadth","B50_low","B50_high","B50","x_minBT","x_maxBT","maximaBT","breadthBT","max_RGRBT","speciesn"
"1","1",-26.54214835,6000.5,23.3676431083333,2.10095348416667,2.63283685666667,1.52384072133333,3.78269123333333,-1.75755816858158,1.04865136051208,-0.917791600763651,49.9097914583333,76.0482567332997,1.52384072133333,6000.5,2.54735085014955,-17.0939209015152,14.3533570510943,31.4472779526094,15.9060790984848,47.3533570510943,31.4472779526094,6.45785165,56.3676431083333,32.0822083992364,49.9097914583333,0.0839110814337721,1
"2","2",-25.81971995,6000.5,23.9788843916667,2.37116103833333,2.21195680583333,1.37661337591667,3.17798627666667,-1.91142172020633,1.4625614965125,5.00125608583392,49.7986043416667,68.5516322716865,1.37661337591667,18000.5,2.33626616000205,-12.14838569133,18.6201288774411,30.768514568771,20.85161430867,51.6201288774411,30.768514568771,7.18028005,56.9788843916667,38.0012560858339,49.7986043416667,0.0769578403349462,2
"3","3",-26.1005136583333,6000.5,23.5940635916667,2.20199261666667,2.40825683666667,1.32045868491667,2.629810355,-1.87987407992025,1.13373017269867,1.82978945602976,49.69457725,65.65224604841,1.32045868491667,30000.5,2.1946079841954,-14.9644237380471,16.4732435469697,31.4376672850168,18.0355762619529,49.4732435469697,31.4376672850168,6.89948634166667,56.5940635916667,34.8297894560298,49.69457725,0.0722915452601339,3
"4","4",-26.0749734333333,6000.5,23.304847575,2.22502561,2.53815122083333,1.403188796,2.78038460258333,-1.93302407976208,1.48069955912083,1.18353259215162,49.3798210083333,69.2770624023532,1.403188796,42000.5,2.3708662133474,-15.0837507593434,15.6065866025253,30.6903373618687,17.9162492406566,48.6065866025253,30.6903373618687,6.92502656666667,56.304847575,34.1835325921516,49.3798210083333,0.0780975843532088,4
"5","5",-25.8212145833333,6000.5,23.708364925,2.45278426,2.3531811775,1.41119560558333,2.69823405958333,-1.87873583492008,0.686760510689092,4.52915613190652,49.5295795083333,69.893898648769,1.41119560558333,54000.5,2.44665672995165,-11.9343836047138,17.8278204087542,29.762204013468,21.0656163952862,50.8278204087542,29.762204013468,7.17878541666667,56.708364925,37.5291561319065,49.5295795083333,0.080594163970545,5
"6","6",-26.4341851333333,6000.5,23.483179175,2.12110506083333,2.52692771833333,1.31792699308333,1.97187576933333,-1.58828207816058,1.85652362799,0.0433199263528421,49.9173643083333,65.7996900811564,1.31792699308333,66000.5,2.18749697638501,-16.4816412015993,15.2088186099327,31.690459811532,16.5183587984007,48.2088186099327,31.690459811532,6.56581486666667,56.483179175,33.0433199263528,49.9173643083333,0.0720573049098426,6
"7","7",-26.0197528166667,6000.5,23.7496898333333,2.17062196666667,2.3269151975,1.46940641625,3.99968160083333,-2.1490245679,1.15955990019927,2.14993175602225,49.76944265,73.146393003297,1.46940641625,78000.5,2.41337300889578,-14.9923014489899,16.9762733510101,31.9685748,18.0076985510101,49.9762733510101,31.9685748,6.98024718333333,56.7496898333333,35.1499317560222,49.76944265,0.0794977806326256,7
"8","8",-25.982614125,6000.5,23.43772565,2.22949556166667,2.38560398166667,1.33248237333333,4.30989779633333,-2.120777043598,1.54636401695917,2.24229365174331,49.420339775,65.8353970563353,1.33248237333333,90000.5,2.2234159452684,-14.5268276880471,16.641908073064,31.1687357611111,18.4731723119529,49.641908073064,31.1687357611111,7.017385875,56.43772565,35.2422936517433,49.420339775,0.0732404947020201,8
"9","9",-25.8995097916667,6000.5,24.0686370416667,2.226588395,2.17123809916667,1.47179785058333,5.67093378333333,-2.46333838670833,1.64584118816917,4.01237357846141,49.9681468333333,73.5301010542346,1.47179785058333,102000.5,2.41584397287588,-13.6603039916667,18.4649199357744,32.1252239274411,19.3396960083333,51.4649199357744,32.1252239274411,7.10049020833333,57.0686370416667,37.0123735784614,49.9681468333333,0.0795791754902448,9
"10","10",-26.0077607333333,6000.5,23.7184108416667,2.28078326166667,2.28602789916667,1.34128730658333,3.70864470183333,-2.076649038955,1.4623603717825,3.45737764238945,49.726171575,66.7186935169185,1.34128730658333,114000.5,2.24109638767308,-13.6326263001684,17.634073985101,31.2667002852694,19.3673736998316,50.634073985101,31.2667002852694,6.99223926666667,56.7184108416667,36.4573776423895,49.726171575,0.0738228978061379,10
"11","11",-25.647878175,6000.5,23.259534175,2.67733326916667,2.73161694916667,1.16283469658333,5.1527282325,-2.6696708811375,1.81694111556917,4.28132356158439,48.90741235,56.8585108622981,1.16283469658333,126000.5,2.15905959326165,-10.7504023833333,16.518348612963,27.2687509962963,22.2495976166667,49.518348612963,27.2687509962963,7.352121825,56.259534175,37.2813235615844,48.90741235,0.0711205625011998,11
"12","12",-25.7220214916667,6000.5,23.2552739916667,2.33499370666667,2.83696482083333,1.30383170175,9.86236926833333,-2.72513766148333,1.519849128525,0.785447502103577,48.9772954833333,63.8249058610839,1.30383170175,138000.5,2.29907015448628,-14.4224009220539,14.5512920920034,28.9736930140572,18.5775990779461,47.5512920920034,28.9736930140572,7.27797850833333,56.2552739916667,33.7854475021036,48.9772954833333,0.0757325842821092,12
"13","13",-26.0605458666667,6000.5,23.3428026916667,2.21841948,2.50861263166667,1.4252144695,2.59575114991667,-2.14018373174583,1.68043487290833,1.30489244477735,49.4033485583333,70.4009917584882,1.4252144695,150000.5,2.39909860487912,-15.0670638709596,15.7741659462121,30.8412298171717,17.9329361290404,48.7741659462121,30.8412298171717,6.93945413333333,56.3428026916667,34.3048924447774,49.4033485583333,0.0790275742306335,13
"14","14",-26.0959347333333,6000.5,24.1619517333333,2.14218583166667,2.15912869,1.6009034985,4.90189789666667,-2.1171841417325,1.30636054512167,3.21031097262391,50.2578864666667,80.4506933124385,1.6009034985,162000.5,2.57874757472446,-14.7617451618687,18.2791300001684,33.040875162037,18.2382548381313,51.2791300001684,33.040875162037,6.90406526666667,57.1619517333333,36.2103109726239,50.2578864666667,0.0849453061116975,14
"15","15",-26.10650175,6000.5,23.7625361583333,2.17137401416667,2.28785510083333,1.4491868235,3.90301762583333,-1.93342402753817,1.12603982314417,2.38796238713037,49.8690379083333,72.2834542116676,1.4491868235,174000.5,2.37205760579713,-14.9274718916667,17.2281447509259,32.1556166425926,18.0725281083333,50.2281447509259,32.1556166425926,6.89349825,56.7625361583333,35.3879623871304,49.8690379083333,0.078136829449291,15
"16","16",-26.6439716,6000.5,23.3557247166667,2.09539728583333,2.63279182333333,1.51862963091667,4.19497021666667,-2.13032412129817,1.34548346947692,-1.05570336493386,49.9996963166667,75.9330718224196,1.51862963091667,186000.5,2.53673623718756,-17.2498435175926,14.2775983332492,31.5274418508418,15.7501564824074,47.2775983332492,31.5274418508418,6.3560284,56.3557247166667,31.9442966350661,49.9996963166667,0.0835614304806696,16
"17","17",-26.0085238083333,6000.5,23.3787336333333,2.24104067583333,2.50335538416667,1.3729055865,2.45897956616667,-2.06420607844983,1.54067693968792,1.6018066747831,49.3872574416667,67.8016678366927,1.3729055865,198000.5,2.31866059341268,-14.7597488397306,15.9463463042088,30.7060951439394,18.2402511602694,48.9463463042088,30.7060951439394,6.99147619166667,56.3787336333333,34.6018066747831,49.3872574416667,0.0763779036797023,17
