"","species","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","speciesn"
"1","1",35.1686608187115,42.0186782974752,12.5952196717172,21.2276646969697,24.1750896464646,33.6687404292929,43.4857523484849,48.2995402777778,35.014665,41.5545375,9.6745825,14.6564675,48.400055,52.5824125,0.050297468025521,0.146781616581272,18.069794914955,46.051603542375,1
"2","2",28.4894813378441,37.0339253107426,16.6012146969697,26.249912020202,17.3988934090909,26.8254131818182,39.0889145959596,46.3808934848485,35.6510425,42.1438375,9.1563975,13.742565,48.13062,52.6869175,0.0773818976545341,0.214890715517613,31.2759058571175,92.305970584025,2
"3","3",25.6399802678947,38.6228547523206,15.8951432828283,23.5965457070707,16.3625477272727,28.1061435606061,35.462993030303,46.8099446212121,34.50477,41.5983525,9.52169,14.5815175,47.7861925,52.47847,0.0564392635711139,0.210308240271943,22.6327350450525,79.989548257275,3
"4","4",30.0399036761921,35.9022281281525,20.5172329292929,27.6836707828283,17.3582982575758,23.5464406565657,41.6687810606061,46.8256067424242,36.676465,42.6566875,8.9317525,13.1711475,48.79718,52.897365,0.0731793460636209,0.14085634569948,34.5088315609125,67.016701666575,4
"5","5",32.3501707132552,37.888251016359,18.061124040404,25.6931565151515,19.7675499747475,26.7659568434343,42.8234248989899,47.2722703535353,35.6977475,41.9506625,9.4649225,14.284255,48.7543975,52.8012075,0.0749291559025423,0.146400655776646,33.250553218575,60.9119185203,5
"6","6",34.2481908173552,40.9048980590323,14.6799390909091,22.5564302525253,22.8281763383838,31.531885530303,43.0444202020202,47.983431969697,35.324175,41.76091,9.49049,14.4907175,48.484365,52.5902975,0.0758977875262856,0.185672637478129,27.7001050804125,68.78948893005,6
"7","7",30.5511092860626,37.0963986924323,18.8484156060606,26.5906845454545,18.4116740151515,25.4818352020202,41.4921997222222,47.165525530303,35.8532675,42.167965,9.423485,14.179155,48.775285,52.9676525,0.0622627009442093,0.142428841317734,28.6787315309175,61.689027541725,7
"8","8",37.0917101149389,41.3436270776302,13.4628636111111,20.2787865909091,26.0506187121212,32.7152561868687,44.7994968939394,47.9792187878788,35.194155,41.4219375,9.5991475,14.5536225,48.4551725,52.3913025,0.0783128818645414,0.144158216434328,27.2359341405525,47.682188980275,8
"9","9",29.4264192674285,37.7529961446458,17.04024,25.2255225252525,18.3949,27.0538552272727,39.8223161616162,46.8495493939394,35.5407375,41.9918375,9.41838,14.2305025,48.4744625,52.772705,0.0632264228118556,0.163155303052065,26.49140473125,66.411797853325,9
"10","10",29.1838588186209,35.8583592031594,19.0264861111111,26.5326864393939,17.690990530303,24.0411053787879,40.0868853282828,46.4781611616161,35.774995,42.09482,9.3273975,14.0911275,48.60039,52.8184,0.0564179709347462,0.120111666712073,25.4844743112075,52.76317597085,10
"11","11",28.7044489219877,37.6159321441218,16.6210359848485,26.324086969697,17.3496447222222,27.537191969697,39.6221256060606,46.6378472727273,35.8241,42.2913075,9.1590875,13.78171,48.3971025,52.7503325,0.0717041390515064,0.17837970663767,29.5031663652625,78.126031324125,11
"12","12",27.6585481539216,37.4724458475944,16.7722157070707,26.6103417929293,16.719423459596,27.1791803030303,38.4127179292929,46.5039840909091,35.906665,42.4452025,9.05457,13.740015,48.424985,52.7847025,0.0473327111883044,0.185934178978901,19.4557693398525,82.81590308215,12
"13","13",31.8581280220879,38.31192430113,17.7361775757576,26.2111206565657,19.2404787626263,27.2809751767677,42.4298841666667,47.4720394949495,35.7178825,42.0778275,9.4267975,14.2623375,48.786995,52.867845,0.0566570090525445,0.148039363639265,25.0607670537825,61.666046312,13
"14","14",28.854530189246,35.10612811083,15.5233017171717,22.4732002272727,18.71426,25.687883989899,38.2931078787879,44.0028137878788,34.511655,41.173115,9.689165,14.5420775,47.73808,52.2993575,0.0901677380814422,0.1907788461856,35.41432702098,69.850294677475,14
"15","15",27.6543251426761,37.5875688011132,17.0864207070707,27.2659004040404,16.3552184090909,27.4354536363636,38.9049222727273,46.7158764393939,36.23126,42.7178025,8.790295,13.55019,48.4849,52.8045125,0.0419896706306947,0.12768592230481,17.47737030693,59.235600636325,15
"16","16",30.3566755151355,36.1902510262428,18.2074053030303,25.2927087878788,18.8788679292929,24.8951947727273,40.7709797727273,46.1561181060606,35.42507,41.9325075,9.4756625,14.33785,48.5471825,52.734205,0.0877483104793544,0.161682605378896,38.207919457245,68.00770054765,16
"17","17",29.1233227474991,38.6126383027835,16.5750302525253,26.6595312878788,17.5938524242424,28.2936324242424,40.0932640151515,47.333312550505,35.8240375,42.2864675,9.1753975,13.918615,48.4690525,52.7632075,0.0418501833673319,0.136875935444536,17.528299423185,59.22462487635,17
"18","18",31.0373991143814,37.106899292564,18.3531747979798,26.1924810353535,18.800609040404,25.6117973989899,41.6124906060606,46.9940846717172,35.60408,42.02325,9.4075825,14.1904675,48.562085,52.7483,0.0683952425246973,0.142283782443317,31.007537708505,60.554113486725,18
