"","species","x_min","draw","x_max","shape1","shape2","stretch","nu","beta_0","beta_1","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low...17","opt_breadth_high...18","opt_breadth...19","B50_low","B50_high","B50","opt_breadth_low...23","opt_breadth_high...24","opt_breadth...25","x_minBT","x_maxBT","maximaBT","breadthBT","max_RGRBT","speciesn"
"1","1",-18.6516493666667,6000.5,17.2966823583333,3.91721878,4.18963029083333,1.36755738991667,4.9187263275,3.30181201080417,1.44038448858508,4.90859376410904,35.948331725,49.0523425990488,1.36755738991667,6000.5,3.32085461723054,-3.36290021776094,11.5122433311448,14.8751435489057,29.6370997822391,44.5122433311448,14.8751435489057,-3.36290021776094,11.5122433311448,14.8751435489057,14.3483506333333,50.2966823583333,37.908593764109,35.948331725,0.507439743383457,1
"2","2",-18.5155264333333,6000.5,17.053081625,4.1747213625,4.60376982416667,1.33644769208333,5.01692272,3.307654126625,1.50567948574025,4.88708413346828,35.5686080583333,47.4403109356488,1.33644769208333,18000.5,3.40521753451331,-2.85976967390572,11.1073771797138,13.9671468536195,30.1402303260943,44.1073771797138,13.9671468536195,-2.85976967390572,11.1073771797138,13.9671468536195,14.4844735666667,50.053081625,37.8870841334683,35.5686080583333,0.520330731406519,2
"3","3",-18.850675225,6000.5,17.2164302166667,3.24546981166667,4.002085115,1.301829519,2.98239747583333,3.428862532725,1.50666513961883,2.73280751323576,36.0671054416667,46.8561674219104,1.301829519,30000.5,2.83571218936294,-6.39899685984849,10.4398981657407,16.8388950255892,26.6010031401515,43.4398981657407,16.8388950255892,-6.39899685984849,10.4398981657407,16.8388950255892,14.149324775,50.2164302166667,35.7328075132358,36.0671054416667,0.433308058176815,3
"4","4",-18.5648100166667,6000.5,17.3440738166667,4.2109236175,4.08780770416667,1.23835302933333,4.40234498833333,3.46673295643333,1.51187488955608,5.97297199248035,35.9088838333333,44.3639513443008,1.23835302933333,42000.5,3.13719825279054,-2.01415768897306,12.1704702833333,14.1846279723064,30.9858423110269,45.1704702833333,14.1846279723064,-2.01415768897306,12.1704702833333,14.1846279723064,14.4351899833333,50.3440738166667,38.9729719924804,35.9088838333333,0.479376323214858,4
"5","5",-18.4724141083333,6000.5,17.239437225,4.70389703666667,4.13620609833333,0.641874709416667,3.70667438083333,3.40259317150833,1.35832882351589,6.97550488542965,35.7118513333333,22.8804250189857,0.641874709416667,54000.5,1.74490021786608,-0.48377961540404,12.6275319423401,13.1113115577441,32.516220384596,45.6275319423401,13.1113115577441,-0.48377961540404,12.6275319423401,13.1113115577441,14.5275858916667,50.239437225,39.9755048854296,35.7118513333333,0.266627666923317,5
"6","6",-18.4621794333333,6000.5,17.0392247666667,4.49180079833333,4.4226912325,0.591680459,3.22848474116667,3.35658208649667,1.44551526982242,5.9218215551404,35.5014042,20.9701749576705,0.591680459,66000.5,1.57535043425252,-1.60398643686869,11.7941893965488,13.3981758334175,31.3960135631313,44.7941893965488,13.3981758334175,-1.60398643686869,11.7941893965488,13.3981758334175,14.5378205666667,50.0392247666667,38.9218215551404,35.5014042,0.24071978819801,6
"7","7",-18.5608110666667,6000.5,17.4999542916667,4.21919913083333,3.83827478333333,0.264345725384167,3.71647547916667,3.43505734816667,1.34896471272553,6.34694605084688,36.0607653583333,9.52165835513476,0.264345725384167,78000.5,0.663567389494565,-1.84409039545455,12.6403703494108,14.4844607448653,31.1559096045455,45.6403703494108,14.4844607448653,-1.84409039545455,12.6403703494108,14.4844607448653,14.4391889333333,50.4999542916667,39.3469460508469,36.0607653583333,0.101395726297577,7
"8","8",-18.9661585583333,6000.5,17.31639395,3.60920900583333,3.75150525833333,1.00681658366667,4.386758745,3.45879130541667,1.51030270297861,4.6319934499435,36.2825525083333,36.4588370265559,1.00681658366667,90000.5,2.29705554258095,-4.34231837011785,11.7559766364478,16.0982950065657,28.6576816298822,44.7559766364478,16.0982950065657,-4.34231837011785,11.7559766364478,16.0982950065657,14.0338414416667,50.31639395,37.6319934499435,36.2825525083333,0.350999188286328,8
"9","9",-18.5168153666667,6000.5,17.046282,4.20810914833333,4.42867342583333,0.386821790125,5.30521052325,3.33388068924167,1.40162791988992,5.12205834936379,35.5630973666667,13.7356769657004,0.386821790125,102000.5,0.980459169257951,-2.68842064208754,11.3536188358586,14.0420394779461,30.3115793579125,44.3536188358586,14.0420394779461,-2.68842064208754,11.3536188358586,14.0420394779461,14.4831846333333,50.046282,38.1220583493638,35.5630973666667,0.149818045832168,9
"10","10",-18.6408602416667,6000.5,16.4753737166667,3.35619394666667,5.22476503916667,1.70645100008333,6.53548130691667,3.28423024424167,1.44870712681417,0.743195800799455,35.1162339583333,59.9298133910772,1.70645100008333,114000.5,3.94412976128326,-7.2764019510101,7.94127528055556,15.2176772315657,25.7235980489899,40.9412752805556,15.2176772315657,-7.2764019510101,7.94127528055556,15.2176772315657,14.3591397583333,49.4753737166667,33.7431958007995,35.1162339583333,0.602678654931823,10
"11","11",-18.5676750166667,6000.5,17.0840029166667,4.61409144916667,4.28189824583333,1.46515207166667,3.74810182833333,3.4287373807025,1.5136658374735,6.45550404028223,35.6516779333333,52.1183854692723,1.46515207166667,126000.5,3.94659065265711,-1.00557629915825,12.1830999726431,13.1886762718013,31.9944237008418,45.1830999726431,13.1886762718013,-1.00557629915825,12.1830999726431,13.1886762718013,14.4323249833333,50.0840029166667,39.4555040402822,35.6516779333333,0.603054688884276,11
"12","12",-18.2626070416667,6000.5,16.5756963083333,5.3323855275,4.68052640583333,0.823743075583333,2.80681456175,3.32937803996092,1.35724333083,6.98449761752919,34.83830335,28.6435853638122,0.823743075583333,138000.5,2.45456273171693,0.38764844520202,12.0180181207071,11.6303696755051,33.387648445202,45.0180181207071,11.6303696755051,0.38764844520202,12.0180181207071,11.6303696755051,14.7373929583333,49.5756963083333,39.9844976175292,34.83830335,0.375066910860365,12
"13","13",-18.7057698083333,6000.5,17.6336436666667,3.79681625583333,3.90935394583333,1.33981324133333,2.910716165,3.41676563773333,1.18092276696338,5.23019056760027,36.339413475,48.6201380166257,1.33981324133333,150000.5,3.16795778263465,-3.44902762121212,12.0906321672559,15.539659788468,29.5509723787879,45.0906321672559,15.539659788468,-3.44902762121212,12.0906321672559,15.539659788468,14.2942301916667,50.6336436666667,38.2301905676003,36.339413475,0.484076501250266,13
