"","species","x_min","draw","x_max","shape1","shape2","stretch","nu","beta_0","beta_1","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low...17","opt_breadth_high...18","opt_breadth...19","B50_low","B50_high","B50","opt_breadth_low...23","opt_breadth_high...24","opt_breadth...25","x_minBT","x_maxBT","maximaBT","breadthBT","max_RGRBT","speciesn"
"1","1",-20.8391628833333,6000.5,17.42593205,3.97293201583333,3.29480100333333,0.812513488083333,3.63624382833333,1.260834942364,0.314199733353933,6.04782543944854,38.2650949333333,31.0381746700007,0.812513488083333,6000.5,1.95649178001578,-3.1933451763468,12.9511003329966,16.1444455093434,29.8066548236532,45.9511003329966,16.1444455093434,1.01685151069024,10.5425191348485,9.52566762415825,12.1608371166667,50.42593205,39.0478254394485,38.2650949333333,0.0938615456784288,1
"2","2",-21.5325426,6000.5,17.4009500333333,2.50642523,3.33051982,1.58197426641667,2.62197027758333,1.21284486489033,0.583709778245858,-0.796410981850704,38.9334926333333,61.6211912493058,1.58197426641667,18000.5,2.96563101693467,-12.0109052489057,9.47822845993266,21.4891337088384,20.9890947510943,42.4782284599327,21.4891337088384,-7.34936119755892,5.65702166178451,13.0063828593434,11.4674574,50.4009500333333,32.2035890181493,38.9334926333333,0.142274408716981,2
"3","3",-20.94969075,6000.5,17.1205389583333,2.55797917666667,4.22634602916667,1.17022810419167,3.37060578858333,0.689883328914342,0.0927318517409167,-2.38942707121107,38.0702297083333,44.5499964006768,1.17022810419167,30000.5,2.38135351364781,-12.1997367207912,7.10496572491583,19.3047024457071,20.8002632792088,40.1049657249158,19.3047024457071,-8.12971432138047,3.46441539141414,11.5941297127946,12.05030925,50.1205389583333,30.6105729287889,38.0702297083333,0.114244038171189,3
"4","4",-21.9165696,6000.5,17.7339115583333,2.22220254583333,2.55494448,1.28175762625,3.3137189715,1.97445247670333,1.31926568399583,-0.120540938126503,39.6504811583333,50.7823662561637,1.28175762625,42000.5,2.17065875612206,-13.1511708857744,11.471918760101,24.6230896458754,19.8488291142256,44.471918760101,24.6230896458754,-7.8337404246633,7.30232354436027,15.1360639690236,11.0834304,50.7339115583333,32.8794590618735,39.6504811583333,0.104136080749794,4
"5","5",-21.07567385,6000.5,17.6753958,2.5937842,2.7146929075,1.20599081233333,3.80429897833333,1.86440846266667,1.23246480066183,2.18083516405335,38.75106965,46.6562796852087,1.20599081233333,54000.5,2.21412472441583,-9.82668900311448,12.1154825877104,21.9421715908249,23.1733109968855,45.1154825877104,21.9421715908249,-4.71576343156566,8.587921125,13.3036845565657,11.92432615,50.6753958,35.1808351640534,38.75106965,0.106221335086222,5
"6","6",-20.9880284916667,6000.5,17.4645092583333,3.31945622666667,3.08673431583333,1.27530906091667,4.38962872875,1.28087037708168,-0.023919220372,4.42728673057716,38.45253775,48.9479444903898,1.27530906091667,66000.5,2.71118903359568,-5.93353784124579,12.4403602073232,18.373898048569,27.0664621587542,45.4403602073232,18.373898048569,-1.31876047356902,9.61869217861953,10.9374526521886,12.0119715083333,50.4645092583333,37.4272867305772,38.45253775,0.130067703794617,6
"7","7",-21.1647805,6000.5,17.8031044083333,2.39892238833333,2.74412442333333,1.15279528691667,3.02453892908333,1.84592312885,1.07633165713083,0.81251802158496,38.9678849083333,44.8505443412058,1.15279528691667,78000.5,2.04838861853108,-11.4363705680135,11.5002916965488,22.9366622645623,21.5636294319865,44.5002916965488,22.9366622645623,-6.34090641632997,7.64253555774411,13.9834419740741,11.8352195,50.8031044083333,33.812518021585,38.9678849083333,0.0982702426093904,7
"8","8",-20.9153649916667,6000.5,17.342493225,3.8857768825,3.04447392833333,0.988990904,6.12658159216667,1.55452864830592,0.152308424849083,6.39749988559871,38.2578582166667,37.7777330594795,0.988990904,90000.5,2.32299371881858,-3.10188389604377,13.3175992999158,16.4194831959596,29.8981161039562,46.3175992999158,16.4194831959596,1.23942172053872,10.9349295888889,9.69550786835017,12.0846350083333,50.342493225,39.3974998855987,38.2578582166667,0.111444261241841,8
"9","9",-21.1395673666667,6000.5,17.5597717833333,2.62708037,3.15364114083333,1.1898533105,3.11891456066667,1.35416713518058,0.574391556729583,0.826176076738304,38.69933915,45.9891556258774,1.1898533105,102000.5,2.25853477260339,-10.4555935776094,10.6495352063131,21.1051287839226,22.5444064223906,43.6495352063131,21.1051287839226,-5.68314974343434,7.05995174478115,12.7431014882155,11.8604326333333,50.5597717833333,33.8261760767383,38.69933915,0.108351881101858,9
"10","10",-21.2175524333333,6000.5,17.697213025,2.31136133583333,2.90175553166667,0.99760232175,3.44940784166667,1.75037651364775,1.02470482709567,-0.462752375534713,38.9147654583333,38.7704755377,0.99760232175,114000.5,1.76607653599925,-12.4712367015152,10.4964839777778,22.9677206792929,20.5287632984848,43.4964839777778,22.9677206792929,-7.54338318771044,6.47106571994949,14.0144489076599,11.7824475666667,50.697213025,32.5372476244653,38.9147654583333,0.0847264860238552,10
