"","species","x_min","draw","x_max","shape1","shape2","stretch","nu","beta_0","beta_1","maxima","breadth","area","special","idx","max_RGR","opt_breadth_low","opt_breadth_high","opt_breadth","B50_low","B50_high","B50","x_minBT","x_maxBT","maximaBT","breadthBT","max_RGRBT","speciesn"
"1","1",-21.059297975,6000.5,18.0910210083333,3.11058482,2.863135615,1.04831701183333,3.30824054158333,1.58347736649643,0.681046517800342,4.61664754329958,39.1503189833333,40.9562869196793,1.04831701183333,6000.5,2.13988194420211,-6.50963766422559,13.2046757026936,19.7143133669192,26.4903623357744,46.2046757026936,19.7143133669192,11.940702025,51.0910210083333,37.6166475432996,39.1503189833333,0.16463869350759,1
"2","2",-21.4125805916667,6000.5,18.132505825,2.79162693083333,3.03606128416667,0.967711468433333,1.69670774216667,1.43428921620167,0.616268561261567,1.92839807279639,39.5450864166667,38.3560356902223,0.967711468433333,18000.5,1.83908254361088,-9.51815119688552,11.7051533250842,21.2233045219697,23.4818488031145,44.7051533250842,21.2233045219697,11.5874194083333,51.132505825,34.9283980727964,39.5450864166667,0.141495725057677,2
"3","3",-21.822630925,6000.5,18.1829620583333,2.23000818416667,3.04496828666667,1.18456612791667,2.28786922291667,1.83547680312417,1.28289196530659,-1.65065291840275,40.0055929833333,47.3695487760781,1.18456612791667,30000.5,2.0937107297974,-13.7520471116162,9.88092307525253,23.6329701868687,19.2479528883838,42.8809230752525,23.6329701868687,11.177369075,51.1829620583333,31.3493470815972,40.0055929833333,0.16108636276437,3
"4","4",-21.200076375,6000.5,18.0771782916667,2.64416415083333,3.0157979625,1.60298927933333,3.144159279,1.49904055190267,-0.0360549572438458,1.59868399840229,39.2772546666667,62.8389972749776,1.60298927933333,42000.5,3.02698515160456,-10.0547072781145,11.5706652090909,21.6253724872054,22.9452927218855,44.5706652090909,21.6253724872054,11.799923625,51.0771782916667,34.5986839984023,39.2772546666667,0.232890829317629,4
"5","5",-21.13716715,6000.5,17.7529137833333,2.52873155666667,4.0025013225,1.329601533,2.94867037933333,1.43069989894192,0.974007409016,-1.8885573169666,38.8900809333333,51.6204280135287,1.329601533,54000.5,2.63956127163035,-12.2049310837542,8.00870344402357,20.2136345277778,20.7950689162458,41.0087034440236,20.2136345277778,11.86283285,50.7529137833333,31.1114426830334,38.8900809333333,0.203083128194014,5
"6","6",-21.2360704166667,6000.5,18.12434245,2.498953055,3.09140153666667,1.08430311625,2.62836213691667,1.55532383073658,1.05739674862919,0.450840279533343,39.3604128666667,42.6213073005689,1.08430311625,66000.5,2.00815401910569,-11.2417799808081,10.8694312329966,22.1112112138047,21.7582200191919,43.8694312329966,22.1112112138047,11.7639295833333,51.12434245,33.4508402795333,39.3604128666667,0.154503782306016,6
"7","7",-21.8166232666667,6000.5,17.8710634083333,2.21821280166667,3.7536508575,1.23517246691667,2.58780917391667,1.80610477302242,1.38912963656202,-4.03394974649346,39.687686675,48.9700900861969,1.23517246691667,78000.5,2.32666449416405,-14.8171543926768,7.07474798417508,21.8919023768519,18.1828456073232,40.0747479841751,21.8919023768519,11.1833767333333,50.8710634083333,28.9660502535065,39.687686675,0.179009409181448,7
"8","8",-20.983508025,6000.5,17.849546375,3.37197502666667,3.502424605,0.754070986166667,3.85440973158333,1.562340057695,0.80121822495915,3.78634441511406,38.8330544,29.2537234927378,0.754070986166667,90000.5,1.65211083187609,-6.25247111464646,11.8546845669192,18.1071556815657,26.7475288853535,44.8546845669192,18.1071556815657,12.016491975,50.849546375,36.7863444151141,38.8330544,0.127110455614988,8
"9","9",-21.198874175,6000.5,17.94393805,2.35313464333333,3.56101327083333,1.0806315123,2.88745014016667,1.57607236829,0.679119606656558,-2.03690681697143,39.142812225,42.2013220489487,1.0806315123,102000.5,2.03276337178682,-13.0139198426768,8.61969538190236,21.6336152245791,19.9860801573232,41.6196953819024,21.6336152245791,11.801125825,50.94393805,30.9630931830286,39.142812225,0.156397181932321,9
"10","10",-21.1061337083333,6000.5,18.17896475,2.463022165,2.87138955583333,1.45194622191667,2.8695359505,1.71480769596017,1.36006355699583,1.03968220869212,39.2850984583333,56.9300806513816,1.45194622191667,114000.5,2.63273316260067,-11.0195537824074,11.5779921158249,22.5975458982323,21.9804462175926,44.5779921158249,22.5975458982323,11.8938662916667,51.17896475,34.0396822086921,39.2850984583333,0.2025577856849,10
"11","11",-21.944976,6000.5,17.8381485,2.17181481416667,3.96626214,1.24858479886667,3.07731549016667,1.80264839818533,1.29953234372652,-5.02247040742905,39.7831245,49.605916413242,1.24858479886667,126000.5,2.39056459965049,-15.5000607867845,6.10576857508418,21.6058293618687,17.4999392132155,39.1057685750842,21.6058293618687,11.055024,50.8381485,27.9775295925709,39.7831245,0.183925769128682,11
"12","12",-21.1844597583333,6000.5,17.9351492,2.39408776833333,3.63459310416667,0.919102679566667,2.77951741408333,1.54797885603908,0.90520133328775,-1.90491978063978,39.1196089583333,35.8987350356772,0.919102679566667,138000.5,1.74696632014007,-12.7617003468013,8.57047443164983,21.3321747784512,20.2382996531987,41.5704744316498,21.3321747784512,11.8155402416667,50.9351492,31.0950802193602,39.1196089583333,0.134408467405835,12
"13","13",-21.1887027166667,6000.5,19.01558475,2.61371818583333,2.56977391833333,1.31922404358333,2.19834524308333,1.80560297643558,1.188409467259,3.64017136368408,40.2042874666667,53.0750037015762,1.31922404358333,150000.5,2.40225203893539,-9.0882203040404,13.8823819579966,22.970602262037,23.9117796959596,46.8823819579966,22.970602262037,11.8112972833333,52.01558475,36.6401713636841,40.2042874666667,0.184824979825575,13
"14","14",-20.9566596083333,6000.5,17.6996275166667,3.378004335,3.74823942833333,0.845292882141667,5.02802712033333,1.47462978148637,0.4424225376295,3.21888404338664,38.656287125,32.6330315135455,0.845292882141667,162000.5,1.86850318698853,-6.58126296565657,11.2325815526094,17.813844518266,26.4187370343434,44.2325815526094,17.813844518266,12.0433403916667,50.6996275166667,36.2188840433866,38.656287125,0.143759296793947,14
"15","15",-21.431869525,6000.5,18.0160218333333,2.33217834083333,3.19866398,1.15005468866667,3.63736251033333,1.92493082720348,1.34627258853442,-1.23024008299506,39.4478913583333,45.3180522259634,1.15005468866667,174000.5,2.09223309329259,-12.8691035346801,9.72910145867003,22.5982049933502,20.1308964653199,42.72910145867,22.5982049933502,11.568130475,51.0160218333333,31.7697599170049,39.4478913583333,0.16097267605175,15
"16","16",-21.1847838416667,6000.5,18.0800743166667,2.49233969416667,3.26098517666667,0.9314210994,2.91887993283333,1.76890866380613,1.17498996839738,-0.0987502531550784,39.2648581583333,36.5155351032858,0.9314210994,186000.5,1.74282907770501,-11.5103900257576,10.2681212090909,21.7785112348485,21.4896099742424,43.2681212090909,21.7785112348485,11.8152161583333,51.0800743166667,32.9012497468449,39.2648581583333,0.1340901553648,16
"17","17",-21.2338717666667,6000.5,17.8776777916667,2.49236481583333,3.58468673166667,1.248819596475,3.651145574,1.38631439162983,0.316936687703483,-1.14333327994192,39.1115495583333,48.7430580990867,1.248819596475,198000.5,2.39331426793146,-12.0565935719697,9.10231545589226,21.158909027862,20.9434064280303,42.1023154558923,21.158909027862,11.7661282333333,50.8776777916667,31.8566667200581,39.1115495583333,0.184137323693449,17
"18","18",-21.217180675,6000.5,18.1953303166667,2.73119539916667,2.78225634083333,0.963515720819167,2.30925907175,1.64845864393825,1.08975221721297,2.90119856198177,39.4125109916667,37.9240471621425,0.963515720819167,210000.5,1.81735553590196,-9.01353693164983,12.6425741921717,21.6561111238215,23.9864630683502,45.6425741921717,21.6561111238215,11.782819325,51.1953303166667,35.9011985619818,39.4125109916667,0.139824087903713,18
