species,family,dayTemp,nightTemp,stemLen1,leafNum1,stemLen2,leafNum2,rgrStem,rgrLeaf
bic,243,40,25,0.7,4,3.2,4,0.510204082,0
bic,243,40,25,0.5,2,0.6,2,0.028571429,0
bic,243,45,30,0.4,2,0.4,2,0,0
bic,243,45,30,0.5,2,0.7,2,0.057142857,0
bic,243,50,35,1.1,4,1.1,4,0,0
bic,244,15,0,1.5,4,1.6,4,0.00952381,0
bic,244,15,0,1.5,4,1.6,4,0.00952381,0
bic,244,20,5,1,4,1.1,4,0.014285714,0
bic,244,20,5,0.8,4,1.2,6,0.071428571,0.071428571
bic,244,25,10,0.8,4,2.4,6,0.285714286,0.071428571
bic,244,25,10,0.9,6,2.6,8,0.26984127,0.047619048
bic,244,30,15,0.7,4,2.4,6,0.346938776,0.071428571
bic,244,30,15,0.7,2,0.8,4,0.020408163,0.142857143
bic,244,35,20,0.8,6,3.6,8,0.5,0.047619048
bic,244,40,25,0.8,2,0.9,4,0.017857143,0.142857143
bic,244,40,25,0.8,2,2,6,0.214285714,0.285714286
bic,244,45,30,0.5,4,1.9,6,0.4,0.071428571
bic,244,45,30,0.5,4,1.3,4,0.228571429,0
bic,244,50,35,1.2,2,0,0,0,0
bic,244,50,35,0.8,4,1.1,4,0.053571429,0
bic,245,15,0,0.6,2,0.7,2,0.023809524,0
bic,245,15,0,1,4,1.2,4,0.028571429,0
bic,245,20,5,0.8,4,1,6,0.035714286,0.071428571
bic,245,20,5,0.6,4,0.9,4,0.071428571,0
bic,245,25,10,0.3,2,0.3,2,0,0
bic,245,25,10,1.2,4,1.6,6,0.047619048,0.071428571
bic,245,30,15,0.7,4,3.4,6,0.551020408,0.071428571
bic,245,30,15,0.7,4,2,6,0.265306122,0.071428571
bic,245,35,20,0.5,2,0.9,4,0.114285714,0.142857143
bic,245,35,20,1.2,4,3.2,6,0.238095238,0.071428571
bic,245,40,25,1,4,3.4,6,0.342857143,0.071428571
bic,245,40,25,0.6,4,1.6,6,0.238095238,0.071428571
bic,245,45,30,1.5,4,2.6,4,0.104761905,0
bic,245,45,30,1.1,4,2.3,4,0.155844156,0
bic,245,50,35,1.3,6,1.3,6,0,0
bic,245,50,35,0.6,4,0.8,4,0.047619048,0
bic,246,15,0,0.6,2,0.7,2,0.023809524,0
bic,246,15,0,1.2,4,1.3,4,0.011904762,0
bic,246,20,5,1.1,4,1.3,6,0.025974026,0.071428571
bic,246,20,5,1.6,4,2.1,6,0.044642857,0.071428571
bic,246,25,10,0.9,2,1.1,4,0.031746032,0.142857143
bic,246,25,10,0.9,2,0.9,4,0,0.142857143
bic,246,30,15,0.9,4,1.8,4,0.142857143,0
bic,246,30,15,1.5,6,3.9,6,0.228571429,0
bic,246,35,20,0.4,2,0.7,4,0.107142857,0.142857143
bic,246,35,20,0.8,4,1.8,6,0.178571429,0.071428571
bic,246,40,25,0.8,2,1,4,0.035714286,0.142857143
bic,246,40,25,1.7,4,3.1,4,0.117647059,0
bic,246,45,30,1,2,2,4,0.142857143,0.142857143
bic,246,45,30,0.4,2,0.5,2,0.035714286,0
bic,246,50,35,1.9,6,1.9,6,0,0
bic,246,50,35,1,2,0,0,0,0
bic,247,15,0,0.9,2,0.9,2,0,0
bic,247,20,5,0.9,4,1.4,6,0.079365079,0.071428571
bic,247,20,5,0.7,4,1.3,6,0.12244898,0.071428571
bic,247,25,10,0.8,4,1.5,6,0.125,0.071428571
bic,247,25,10,0.9,4,1.5,6,0.095238095,0.071428571
bic,247,30,15,0.8,4,2.7,8,0.339285714,0.142857143
bic,247,30,15,0.5,2,0.6,4,0.028571429,0.142857143
bic,247,35,20,0.4,2,0.6,4,0.071428571,0.142857143
bic,247,40,25,1.1,2,3.1,6,0.25974026,0.285714286
bic,247,40,25,0.9,4,2.6,6,0.26984127,0.071428571
bic,247,45,30,0.6,2,0.8,2,0.047619048,0
bic,247,45,30,0.6,2,0.9,2,0.071428571,0
bic,247,50,35,1.1,2,0,0,0,0
bic,247,50,35,0.5,2,0,0,0,0
bic,248,15,0,0.7,4,0.8,4,0.020408163,0
bic,248,15,0,0.4,2,0.6,2,0.071428571,0
