"","species","x","lower","upper","mu","level"
"1","1",5.4754,0,0,0,95
"2","1",5.4754,0,0,0,50
"3","1",5.99601313131313,0,0,0,95
"4","1",5.99601313131313,0,0,0,50
"5","1",6.51662626262626,0,0,0,95
"6","1",6.51662626262626,0,0,0,50
"7","1",7.03723939393939,0,0,0,95
"8","1",7.03723939393939,0,0,0,50
"9","1",7.55785252525252,0,0,0,95
"10","1",7.55785252525252,0,0,0,50
"11","1",8.07846565656566,0,0,0,95
"12","1",8.07846565656566,0,0,0,50
"13","1",8.59907878787879,0,0,0,95
"14","1",8.59907878787879,0,0,0,50
"15","1",9.11969191919192,0,0.0010297760058806,3.11167488071411e-07,95
"16","1",9.11969191919192,0,0.000354584759839808,3.11167488071411e-07,50
"17","1",9.64030505050505,0,0.00136776901846372,1.88543502208315e-06,95
"18","1",9.64030505050505,0,0.000471932070704869,1.88543502208315e-06,50
"19","1",10.1609181818182,0,0.00262795979227297,5.90070456155106e-06,95
"20","1",10.1609181818182,0,0.000908239723553713,5.90070456155106e-06,50
"21","1",10.6815313131313,0,0.00797994928685635,1.88794093780449e-05,95
"22","1",10.6815313131313,0,0.0027585522173016,1.88794093780449e-05,50
"23","1",11.2021444444444,0,0.0135352942934533,5.35463063083505e-05,95
"24","1",11.2021444444444,0,0.00469307075868744,5.35463063083505e-05,50
"25","1",11.7227575757576,0,0.0225873261698924,0.000135716066918217,95
"26","1",11.7227575757576,0,0.00786207278025781,0.000135716066918217,50
"27","1",12.2433707070707,0,0.0317894064993204,0.000328045288831627,95
"28","1",12.2433707070707,0,0.0111549614113088,0.000328045288831627,50
"29","1",12.7639838383838,0,0.038173777707149,0.000637101411907115,95
"30","1",12.7639838383838,0,0.0135547384793608,0.000637101411907115,50
"31","1",13.284596969697,0,0.0430860347324149,0.00110206971885483,95
"32","1",13.284596969697,0,0.0155501689174136,0.00110206971885483,50
"33","1",13.8052101010101,0,0.0476630771501301,0.00175977537237911,95
"34","1",13.8052101010101,0,0.0175566506177762,0.00175977537237911,50
"35","1",14.3258232323232,0,0.0516834642509108,0.00261776745010128,95
"36","1",14.3258232323232,1.02097054975305e-06,0.0195029295446185,0.00261776745010128,50
"37","1",14.8464363636364,0,0.0534008858073389,0.00368723664451336,95
"38","1",14.8464363636364,4.06928617317994e-05,0.0207953810133185,0.00368723664451336,50
"39","1",15.3670494949495,0,0.0559835741671149,0.00496508626647941,95
"40","1",15.3670494949495,0.000116020266323321,0.0225222696794985,0.00496508626647941,50
"41","1",15.8876626262626,0,0.0583723183079799,0.00645231364435706,95
"42","1",15.8876626262626,0.000217305534681582,0.0243197393991035,0.00645231364435706,50
"43","1",16.4082757575758,0,0.0611006560448039,0.00815069905354839,95
"44","1",16.4082757575758,0.00043577221623708,0.0263725661621454,0.00815069905354839,50
"45","1",16.9288888888889,0,0.0641713393471396,0.0100618987876756,95
"46","1",16.9288888888889,0.000747468853859057,0.0286827833213101,0.0100618987876756,50
"47","1",17.449502020202,0,0.067586720890034,0.0121873338843451,95
"48","1",17.449502020202,0.0011770000255369,0.0312521325220874,0.0121873338843451,50
"49","1",17.9701151515152,0,0.0713485564066129,0.0145280603238849,95
"50","1",17.9701151515152,0.00180007530034813,0.0340819105533575,0.0145280603238849,50
"51","1",18.4907282828283,0,0.0754578431609224,0.0170846653943375,95
"52","1",18.4907282828283,0.00260493670803469,0.0371728457897414,0.0170846653943375,50
"53","1",19.0113414141414,0,0.0799146801804759,0.0198571790728118,95
"54","1",19.0113414141414,0.00368396055483502,0.0405249919709225,0.0198571790728118,50
"55","1",19.5319545454545,0,0.0847181398090947,0.0228449931600221,95
"56","1",19.5319545454545,0.00508411442309407,0.0441376309617172,0.0228449931600221,50
"57","1",20.0525676767677,1.44280266123381e-05,0.0898661447477045,0.0260467842131155,95
"58","1",20.0525676767677,0.00681714922234702,0.0480091798919066,0.0260467842131155,50
"59","1",20.5731808080808,7.66794878178966e-05,0.0953553473861249,0.0294604381321766,95
"60","1",20.5731808080808,0.00889030989137965,0.0521371001690656,0.0294604381321766,50
"61","1",21.0937939393939,0.000156234792506687,0.101181009712179,0.0330829752541331,95
"62","1",21.0937939393939,0.0112265005989032,0.0565178070228558,0.0330829752541331,50
"63","1",21.6144070707071,0.000282797916491725,0.107336882959583,0.0369104753890288,95
"64","1",21.6144070707071,0.0138842876976332,0.0611465789216239,0.0369104753890288,50
"65","1",22.1350202020202,0.000516435524496048,0.113815086707002,0.0409380025956733,95
"66","1",22.1350202020202,0.0167402764483448,0.0660174666291944,0.0409380025956733,50
"67","1",22.6556333333333,0.000845844938520554,0.120605987514615,0.0451595297370688,95
"68","1",22.6556333333333,0.0198226251928261,0.0711232019580653,0.0451595297370688,50
"69","1",23.1762464646465,0.00119914223168559,0.127698077460128,0.0495678630337709,95
"70","1",23.1762464646465,0.0231333290537961,0.0764551064866482,0.0495678630337709,50
"71","1",23.6968595959596,0.00161810857991856,0.13507785315707,0.0541545669745592,95
"72","1",23.6968595959596,0.0266497241269489,0.0820030006768225,0.0541545669745592,50
"73","1",24.2174727272727,0.00212149030901254,0.142729696029331,0.0589098900651118,95
"74","1",24.2174727272727,0.0303348671055083,0.0877551139734265,0.0589098900651118,50
"75","1",24.7380858585859,0.00270684710144032,0.150635754792286,0.0638226920065968,95
"76","1",24.7380858585859,0.0341398932720099,0.0936979966009398,0.0638226920065968,50
"77","1",25.258698989899,0.00335526302176686,0.158775831261533,0.0688803730032312,95
"78","1",25.258698989899,0.0380622386953242,0.0998164339016324,0.0688803730032312,50
