"","species","x","lower","upper","mu","level"
"1","1",6.0142,0,0,0,95
"2","1",6.0142,0,0,0,50
"3","1",6.52099797979798,0,0,0,95
"4","1",6.52099797979798,0,0,0,50
"5","1",7.02779595959596,0,0,0,95
"6","1",7.02779595959596,0,0,0,50
"7","1",7.53459393939394,0,0,0,95
"8","1",7.53459393939394,0,0,0,50
"9","1",8.04139191919192,0,0,0,95
"10","1",8.04139191919192,0,0,0,50
"11","1",8.5481898989899,0,0.000218655881429313,4.58851540410367e-11,95
"12","1",8.5481898989899,0,7.52468978979501e-05,4.58851540410367e-11,50
"13","1",9.05498787878788,0,0.000218658086299355,1.5604520887752e-09,95
"14","1",9.05498787878788,0,7.52486500214796e-05,1.5604520887752e-09,50
"15","1",9.56178585858586,0,0.000218669733667232,9.56124938319181e-09,95
"16","1",9.56178585858586,0,7.52579057267727e-05,9.56124938319181e-09,50
"17","1",10.0685838383838,0,0.000990456596738275,2.2861305375847e-07,95
"18","1",10.0685838383838,0,0.000340999479570102,2.2861305375847e-07,50
"19","1",10.5753818181818,0,0.00275384373824469,1.43783209782654e-06,95
"20","1",10.5753818181818,0,0.000948633590141758,1.43783209782654e-06,50
"21","1",11.0821797979798,0,0.00688674559081927,4.46590697331329e-06,95
"22","1",11.0821797979798,0,0.00237289060321903,4.46590697331329e-06,50
"23","1",11.5889777777778,0,0.011681067058434,1.32857910695007e-05,95
"24","1",11.5889777777778,0,0.00402856307904172,1.32857910695007e-05,50
"25","1",12.0957757575758,0,0.0145465890036732,3.20158127590586e-05,95
"26","1",12.0957757575758,0,0.00502697027261861,3.20158127590586e-05,50
"27","1",12.6025737373737,0,0.0183666974624753,6.36331444903502e-05,95
"28","1",12.6025737373737,0,0.00636233525179339,6.36331444903502e-05,50
"29","1",13.1093717171717,0,0.0233790757119131,0.000112106989200841,95
"30","1",13.1093717171717,0,0.00811905611958753,0.000112106989200841,50
"31","1",13.6161696969697,0,0.0254682840055071,0.00019056490247549,95
"32","1",13.6161696969697,0,0.00888948109573991,0.00019056490247549,50
"33","1",14.1229676767677,0,0.0273110647598877,0.000305796702135677,95
"34","1",14.1229676767677,0,0.00959922079050017,0.000305796702135677,50
"35","1",14.6297656565657,0,0.0287450703528124,0.000462836077124083,95
"36","1",14.6297656565657,0,0.010195707334997,0.000462836077124083,50
"37","1",15.1365636363636,0,0.0292763310288483,0.000666007239257166,95
"38","1",15.1365636363636,0,0.0105117851709363,0.000666007239257166,50
"39","1",15.6433616161616,0,0.0297078799716927,0.000919884009638405,95
"40","1",15.6433616161616,0,0.010826804931784,0.000919884009638405,50
"41","1",16.1501595959596,0,0.030229715374247,0.00122891149088154,95
"42","1",16.1501595959596,0,0.0112090668004022,0.00122891149088154,50
"43","1",16.6569575757576,0,0.0308485515634268,0.00159754671958257,95
