"","species","x","lower","upper","mu","level"
"1","1",-0.661700000000003,0,0,0,95
"2","1",-0.661700000000003,0,0,0,50
"3","1",-0.0410727272727271,0,0,0,95
"4","1",-0.0410727272727271,0,0,0,50
"5","1",0.579554545454542,0,0,0,95
"6","1",0.579554545454542,0,0,0,50
"7","1",1.20018181818181,0,0,0,95
"8","1",1.20018181818181,0,0,0,50
"9","1",1.82080909090909,0,0,0,95
"10","1",1.82080909090909,0,0,0,50
"11","1",2.44143636363636,0,0.000515151129587487,5.75637751748164e-06,95
"12","1",2.44143636363636,0,0.000181056302304376,5.75637751748164e-06,50
"13","1",3.06206363636363,0,0.00135647060480021,7.20833105588711e-05,95
"14","1",3.06206363636363,0,0.000514084322863777,7.20833105588711e-05,50
"15","1",3.68269090909091,0,0.00324735754761018,0.000244914976705777,95
"16","1",3.68269090909091,4.87968571222475e-06,0.00127815678910705,0.000244914976705777,50
"17","1",4.30331818181818,0,0.00729249353143826,0.000635965258403762,95
"18","1",4.30331818181818,2.84523423840857e-05,0.00292670127573207,0.000635965258403762,50
"19","1",4.92394545454545,0,0.012425306619988,0.00136441416280159,95
"20","1",4.92394545454545,7.09190562672338e-05,0.00517084053044944,0.00136441416280159,50
"21","1",5.54457272727272,0,0.0174838743012031,0.00245997613295829,95
"22","1",5.54457272727272,0.000187183906807782,0.00763020650576223,0.00245997613295829,50
"23","1",6.1652,0,0.0237020431217486,0.00398414875462787,95
"24","1",6.1652,0.000424214659520853,0.0107697416282607,0.00398414875462787,50
"25","1",6.78582727272727,0,0.0279001698559601,0.00584248556088028,95
"26","1",6.78582727272727,0.000893012208869058,0.0134332791098667,0.00584248556088028,50
"27","1",7.40645454545454,0,0.0326513536053392,0.00790683581231369,95
"28","1",7.40645454545454,0.00163325195355009,0.0164222594408029,0.00790683581231369,50
"29","1",8.02708181818182,0,0.0375456828862427,0.0101562622137176,95
"30","1",8.02708181818182,0.00260869639078161,0.0195818861808652,0.0101562622137176,50
"31","1",8.64770909090909,7.43196526169198e-06,0.0421511435050237,0.0125326027796851,95
"32","1",8.64770909090909,0.00375488586333107,0.0227253421833606,0.0125326027796851,50
"33","1",9.26833636363636,3.88516884883581e-05,0.0466836936843106,0.0149859260939889,95
"34","1",9.26833636363636,0.00507621207886139,0.0258941976297981,0.0149859260939889,50
"35","1",9.88896363636363,9.18739992445719e-05,0.0513341101490354,0.0175002885521302,95
"36","1",9.88896363636363,0.00655714590830666,0.0291436483572496,0.0175002885521302,50
"37","1",10.5095909090909,0.000161971265163147,0.0560812217885899,0.0200645624766054,95
"38","1",10.5095909090909,0.00819373405123337,0.0324591104039433,0.0200645624766054,50
"39","1",11.1302181818182,0.000234148780395145,0.0609075246520227,0.022669500516876,95
"40","1",11.1302181818182,0.00988695597269051,0.0358284950445021,0.022669500516876,50
"41","1",11.7508454545455,0.000314898424723455,0.0657976449892587,0.0253069559141384,95
"42","1",11.7508454545455,0.011635700601213,0.039241168468536,0.0253069559141384,50
"43","1",12.3714727272727,0.00043390822560595,0.0707375847843163,0.0279694965351637,95
"44","1",12.3714727272727,0.0134381091967553,0.0426874390009812,0.0279694965351637,50
"45","1",12.9921,0.000592544320046745,0.0757142840890877,0.030650179642572,95
"46","1",12.9921,0.0152680980502243,0.0461582587658082,0.030650179642572,50
"47","1",13.6127272727273,0.00076857441126321,0.0807153434679706,0.0333424084595344,95
"48","1",13.6127272727273,0.0171167529581309,0.0496450340954813,0.0333424084595344,50
"49","1",14.2333545454545,0.000989712527192661,0.08572883775723,0.036039835634743,95
"50","1",14.2333545454545,0.018982974502908,0.0531394981252014,0.036039835634743,50
"51","1",14.8539818181818,0.00124238732797794,0.0907431861686785,0.0387362957678959,95
"52","1",14.8539818181818,0.0208653594197794,0.0566336218369413,0.0387362957678959,50
"53","1",15.4746090909091,0.00150978244578032,0.0957470591883446,0.0414257569753019,95
"54","1",15.4746090909091,0.0227498937788524,0.0601195502536509,0.0414257569753019,50
"55","1",16.0952363636364,0.00179598515542264,0.100729310576744,0.0441022854784379,95
"56","1",16.0952363636364,0.0246245457711463,0.0635895558130847,0.0441022854784379,50
"57","1",16.7158636363636,0.00210603382830662,0.10567892711012,0.0467600194155299,95
"58","1",16.7158636363636,0.0264852430321886,0.0670360038959672,0.0467600194155299,50
"59","1",17.3364909090909,0.0024186308955819,0.110584991239868,0.0493931493796158,95
"60","1",17.3364909090909,0.0283349715478199,0.0704513272114117,0.0493931493796158,50
"61","1",17.9571181818182,0.00272623792308125,0.115436653406261,0.0519959039896143,95
"62","1",17.9571181818182,0.0301638011735374,0.0738280068056913,0.0519959039896143,50
"63","1",18.5777454545455,0.00302824712078532,0.120223111738115,0.0545625393150889,95
"64","1",18.5777454545455,0.0319665204899107,0.0771585581402672,0.0545625393150889,50
"65","1",19.1983727272727,0.00332405433197573,0.124933597526721,0.0570873313153316,95
"66","1",19.1983727272727,0.0337391414967336,0.0804355211339297,0.0570873313153316,50
"67","1",19.819,0.00361982699928578,0.129557365307825,0.0595645706844118,95
"68","1",19.819,0.0354776880001109,0.0836514533687128,0.0595645706844118,50
"69","1",20.4396272727273,0.00392494629268622,0.134083686694983,0.0619885596546538,95
"70","1",20.4396272727273,0.0371781934380533,0.0867989258712544,0.0619885596546538,50
"71","1",21.0602545454545,0.00422138880644404,0.138501847327488,0.0643536104253809,95
"72","1",21.0602545454545,0.0388366998188228,0.089870521031939,0.0643536104253809,50
"73","1",21.6808818181818,0.00451184855414705,0.14280114645526,0.0666540449667077,95
"74","1",21.6808818181818,0.0404492576000549,0.0928588323333604,0.0666540449667077,50
"75","1",22.3015090909091,0.00480145797494382,0.146970898800594,0.0688841960094181,95
"76","1",22.3015090909091,0.0420119263785984,0.0957564656402377,0.0688841960094181,50
"77","1",22.9221363636364,0.00508135780087083,0.151000438424809,0.0710384090780004,95
"78","1",22.9221363636364,0.0435207762925402,0.0985560418634606,0.0710384090780004,50
"79","1",23.5427636363636,0.00535073825934931,0.154879124395262,0.0731110454591083,95
"80","1",23.5427636363636,0.0449718900610043,0.101250200857212,0.0731110454591083,50
"81","1",24.1633909090909,0.00561961732115694,0.158596348100553,0.0750964860251094,95
"82","1",24.1633909090909,0.0463613656061035,0.103831606444115,0.0750964860251094,50
"83","1",24.7840181818182,0.00587623743453606,0.162141542103298,0.0769891358541045,95
"84","1",24.7840181818182,0.0476853192163246,0.106292952491884,0.0769891358541045,50
"85","1",25.4046454545455,0.00612059517126082,0.165504190453435,0.0787834296053804,95
"86","1",25.4046454545455,0.048939889222701,0.10862696998806,0.0787834296053804,50
"87","1",26.0252727272727,0.00635140778790522,0.168673840412839,0.0804738376238205,95
"88","1",26.0252727272727,0.0501212401691182,0.110826435078523,0.0804738376238205,50
"89","1",26.6459,0.00656651313314052,0.171640115565659,0.0820548727591592,95
"90","1",26.6459,0.0512255674665973,0.112884178051721,0.0820548727591592,50
"91","1",27.2665272727273,0.00676790714116941,0.174392730309411,0.0835210978967833,95
"92","1",27.2665272727273,0.052249102528824,0.114793093264743,0.0835210978967833,50
"93","1",27.8871545454545,0.00695361295635135,0.17692150574052,0.0848671342065353,95
"94","1",27.8871545454545,0.0531881183928924,0.116546150020178,0.0848671342065353,50
"95","1",28.5077818181818,0.00712344522064829,0.179216386965355,0.08608767012507,95
"96","1",28.5077818181818,0.0540389358354823,0.118136404414658,0.08608767012507,50
"97","1",29.1284090909091,0.00727838359739572,0.181267461884606,0.0871774710961053,95
"98","1",29.1284090909091,0.0547979300007212,0.119557012191489,0.0871774710961053,50
"99","1",29.7490363636364,0.00741506694837241,0.183064981515583,0.0881313901016758,95
"100","1",29.7490363636364,0.055461537562008,0.120801242641344,0.0881313901016758,50
"101","1",30.3696636363636,0.00753106682436484,0.184599381934313,0.0889443790265415,95
"102","1",30.3696636363636,0.0560262644462835,0.121862493606799,0.0889443790265415,50
"103","1",30.9902909090909,0.0076257253331907,0.185861307937606,0.0896115009074944,95
"104","1",30.9902909090909,0.0564886941558206,0.122734307659168,0.0896115009074944,50
"105","1",31.6109181818182,0.00769914468057999,0.18684163854522,0.0901279431297438,95
"106","1",31.6109181818182,0.0568454967297746,0.123410389529713,0.0901279431297438,50
"107","1",32.2315454545455,0.00774997926408174,0.187531514484402,0.0904890316441576,95
"108","1",32.2315454545455,0.0570934383957012,0.123884624892614,0.0904890316441576,50
"109","1",32.8521727272727,0.00777726795085832,0.187922367824144,0.0906902462922744,95
"110","1",32.8521727272727,0.0572293919702721,0.124151100614277,0.0906902462922744,50
"111","1",33.4728,0.00778041398642027,0.188005953955378,0.0907272373411058,95
"112","1",33.4728,0.0572503480787996,0.124204126603412,0.0907272373411058,50
"113","1",34.0934272727273,0.00775884234238958,0.187774386146884,0.0905958433473516,95
"114","1",34.0934272727273,0.0571534272752738,0.124038259419429,0.0905958433473516,50
"115","1",34.7140545454545,0.00771200171353922,0.187220172946366,0.0902921104914076,95
"116","1",34.7140545454545,0.0569358931588851,0.12364832782393,0.0902921104914076,50
"117","1",35.3346818181818,0.0076393666854855,0.18633625874329,0.0898123135462801,95
"118","1",35.3346818181818,0.0565951666000063,0.123029460492554,0.0898123135462801,50
"119","1",35.9553090909091,0.00754144797861459,0.185116067866912,0.0891529786762773,95
"120","1",35.9553090909091,0.0561288412090653,0.122177116143489,0.0891529786762773,50
"121","1",36.5759363636364,0.00741754906068951,0.183553552661829,0.0883109082964882,95
"122","1",36.5759363636364,0.0555347002065887,0.121087116386388,0.0883109082964882,50
"123","1",37.1965636363636,0.00726922177432853,0.181643246067901,0.0872832082683455,95
"124","1",37.1965636363636,0.0548107348831518,0.119755681653539,0.0872832082683455,50
"125","1",37.8171909090909,0.00709406332868474,0.179380319335839,0.0860673177613459,95
"126","1",37.8171909090909,0.0539551648756404,0.118179470647051,0.0860673177613459,50
"127","1",38.4378181818182,0.00689172463808711,0.176760645640237,0.0846610421793905,95
"128","1",38.4378181818182,0.0529664605332678,0.116355623825513,0.0846610421793905,50
"129","1",39.0584454545455,0.00666189918806552,0.173780870516253,0.083062589636447,95
"130","1",39.0584454545455,0.0518433677061026,0.114281811566791,0.083062589636447,50
"131","1",39.6790727272727,0.00640432717606852,0.170438490255738,0.0812706115761112,95
"132","1",39.6790727272727,0.0505849353644384,0.111956287787784,0.0812706115761112,50
"133","1",40.2997,0.00611988598215056,0.166731939668652,0.0792842482712373,95
"134","1",40.2997,0.0491905465547193,0.109377949987755,0.0792842482712373,50
"135","1",40.9203272727273,0.00581447487146394,0.162660690967801,0.0771031801244604,95
"136","1",40.9203272727273,0.0476599533247263,0.106546406924194,0.0771031801244604,50
"137","1",41.5409545454545,0.00548564048654793,0.158225366000488,0.0747276859344745,95
"138","1",41.5409545454545,0.0459933164185499,0.103462055450399,0.0747276859344745,50
"139","1",42.1615818181818,0.00513694289922135,0.153427864674951,0.0721587096201383,95
"140","1",42.1615818181818,0.0441912507668418,0.100126168473435,0.0721587096201383,50
"141","1",42.7822090909091,0.00476590950513518,0.148271513280247,0.0693979373403017,95
"142","1",42.7822090909091,0.0422548781042976,0.0965409965763057,0.0693979373403017,50
"143","1",43.4028363636364,0.00437229659965744,0.142761237578732,0.0664478875656372,95
"144","1",43.4028363636364,0.0401858884712825,0.0927098866599918,0.0664478875656372,50
"145","1",44.0234636363636,0.00396593512719356,0.136903767221587,0.0633120175339492,95
"146","1",44.0234636363636,0.0379866129577241,0.0886374221101743,0.0633120175339492,50
"147","1",44.6440909090909,0.00354934560529607,0.130707880459124,0.0599948507877261,95
"148","1",44.6440909090909,0.0356601109175637,0.0843295906578885,0.0599948507877261,50
"149","1",45.2647181818182,0.00312756065979475,0.124184701719368,0.0565021323766929,95
