"","species","family","t.opt","t.pmax","t.cmin","t.cmax","t.cbreadth","t.breadth","t.min","t.max","t.min2","t.max2","family.orig","range","pair"
"1","car",1,32.0822083992364,0.0839110814337721,6.45785165,56.3676431083333,49.9097914583333,31.4472779526094,15.9060790984848,47.3533570510943,15.9060790984848,47.3533570510943,1,"widespread","car-par"
"2","car",2,38.0012560858339,0.0769578403349462,7.18028005,56.9788843916667,49.7986043416667,30.768514568771,20.85161430867,51.6201288774411,20.85161430867,50,2,"widespread","car-par"
"3","car",3,34.8297894560298,0.0722915452601339,6.89948634166667,56.5940635916667,49.69457725,31.4376672850168,18.0355762619529,49.4732435469697,18.0355762619529,49.4732435469697,3,"widespread","car-par"
"4","car",4,34.1835325921516,0.0780975843532088,6.92502656666667,56.304847575,49.3798210083333,30.6903373618687,17.9162492406566,48.6065866025253,17.9162492406566,48.6065866025253,4,"widespread","car-par"
"5","car",5,37.5291561319065,0.080594163970545,7.17878541666667,56.708364925,49.5295795083333,29.762204013468,21.0656163952862,50.8278204087542,21.0656163952862,50,5,"widespread","car-par"
"6","car",6,33.0433199263528,0.0720573049098426,6.56581486666667,56.483179175,49.9173643083333,31.690459811532,16.5183587984007,48.2088186099327,16.5183587984007,48.2088186099327,6,"widespread","car-par"
"7","car",7,35.1499317560222,0.0794977806326256,6.98024718333333,56.7496898333333,49.76944265,31.9685748,18.0076985510101,49.9762733510101,18.0076985510101,49.9762733510101,7,"widespread","car-par"
"8","car",8,35.2422936517433,0.0732404947020201,7.017385875,56.43772565,49.420339775,31.1687357611111,18.4731723119529,49.641908073064,18.4731723119529,49.641908073064,8,"widespread","car-par"
"9","car",9,37.0123735784614,0.0795791754902448,7.10049020833333,57.0686370416667,49.9681468333333,32.1252239274411,19.3396960083333,51.4649199357744,19.3396960083333,50,9,"widespread","car-par"
"10","car",10,36.4573776423895,0.0738228978061379,6.99223926666667,56.7184108416667,49.726171575,31.2667002852694,19.3673736998316,50.634073985101,19.3673736998316,50,10,"widespread","car-par"
"11","car",11,37.2813235615844,0.0711205625011998,7.352121825,56.259534175,48.90741235,27.2687509962963,22.2495976166667,49.518348612963,22.2495976166667,49.518348612963,11,"widespread","car-par"
"12","car",12,33.7854475021036,0.0757325842821092,7.27797850833333,56.2552739916667,48.9772954833333,28.9736930140572,18.5775990779461,47.5512920920034,18.5775990779461,47.5512920920034,12,"widespread","car-par"
"13","car",13,34.3048924447774,0.0790275742306335,6.93945413333333,56.3428026916667,49.4033485583333,30.8412298171717,17.9329361290404,48.7741659462121,17.9329361290404,48.7741659462121,13,"widespread","car-par"
"14","car",14,36.2103109726239,0.0849453061116975,6.90406526666667,57.1619517333333,50.2578864666667,33.040875162037,18.2382548381313,51.2791300001684,18.2382548381313,50,14,"widespread","car-par"
"15","car",15,35.3879623871304,0.078136829449291,6.89349825,56.7625361583333,49.8690379083333,32.1556166425926,18.0725281083333,50.2281447509259,18.0725281083333,50,15,"widespread","car-par"
"16","car",16,31.9442966350661,0.0835614304806696,6.3560284,56.3557247166667,49.9996963166667,31.5274418508418,15.7501564824074,47.2775983332492,15.7501564824074,47.2775983332492,16,"widespread","car-par"
