"","species","family","dayTemp","nightTemp","stemLen1","leafNum1","stemLen2","leafNum2","rgrStem","rgrLeaf","familyI","RGR","dayTempc","RGRs"
"64","bic",239,40,25,0.4,2,1.4,4,0.357142857,0.142857143,5,0.357142857,7,3.07652612399234
"65","bic",239,40,25,0.4,2,0.4,2,0,0,5,0,7,0
"66","bic",239,45,30,0.9,4,2.4,6,0.238095238,0.071428571,5,0.238095238,12,2.05101741599489
"67","bic",239,45,30,1.2,4,3.9,6,0.321428571,0.071428571,5,0.321428571,12,2.76887350900882
"68","bic",239,50,35,1.2,4,1.3,6,0.011904762,0.071428571,5,0.011904762,17,0.102550871661172
"69","bic",239,50,35,0.8,4,0,0,0,0,5,0,17,0
"70","bic",240,15,0,0.6,2,0.8,2,0.047619048,0,6,0.047619048,-18,0.410203486644688
"71","bic",240,15,0,0.5,2,0.7,4,0.057142857,0.142857143,6,0.057142857,-18,0.492244178805062
"72","bic",240,20,5,0.2,2,0.3,2,0.071428571,0,6,0.071428571,-13,0.615305221352759
"73","bic",240,20,5,0.5,4,0.9,6,0.114285714,0.071428571,6,0.114285714,-13,0.984488357610123
"74","bic",240,25,10,1,6,2.6,6,0.228571429,0,6,0.228571429,-8,1.96897672383452
"75","bic",240,30,15,0.3,2,0.6,2,0.142857143,0,6,0.142857143,-3,1.23061045131979
"76","bic",240,30,15,0.3,2,0.5,2,0.095238095,0,6,0.095238095,-3,0.820406964675103
"77","bic",240,35,20,0.7,6,3.2,8,0.510204082,0.047619048,6,0.510204082,2,4.3950373249115
"78","bic",240,35,20,0.5,2,0.5,4,0,0.142857143,6,0,2,0
"79","bic",240,40,25,0.5,4,1.8,6,0.371428571,0.071428571,6,0.371428571,7,3.19958716654004
"80","bic",240,40,25,0.7,4,4,6,0.673469388,0.071428571,6,0.673469388,7,5.80144926681575
"81","bic",240,45,30,0.2,2,0.2,2,0,0,6,0,12,0
"82","bic",240,50,35,0.6,2,0.9,2,0.071428571,0,6,0.071428571,17,0.615305221352759
"83","bic",240,50,35,0.7,4,1.5,6,0.163265306,0.071428571,6,0.163265306,17,1.40641194190425
"84","bic",242,15,0,0.8,4,1.1,4,0.053571429,0,7,0.053571429,-18,0.461478922475274
"85","bic",242,15,0,1,4,1.3,6,0.042857143,0.071428571,7,0.042857143,-18,0.369183136257364
"86","bic",242,20,5,0.8,4,1.4,6,0.107142857,0.071428571,7,0.107142857,-13,0.922957836336275
"87","bic",242,20,5,0.6,2,0.6,4,0,0.142857143,7,0,-13,0
"88","bic",242,25,10,1.1,6,3.9,8,0.363636364,0.047619048,7,0.363636364,-8,3.13246296699583
"89","bic",242,25,10,0.6,2,0.7,4,0.023809524,0.142857143,7,0.023809524,-8,0.205101743322344
"90","bic",242,30,15,1.4,6,4.2,8,0.285714286,0.047619048,7,0.285714286,-3,2.46122090263958
"91","bic",242,30,15,1.3,6,4.6,8,0.362637363,0.047619048,7,0.362637363,-3,3.12385729950408
"92","bic",242,35,20,0.9,4,2.6,6,0.26984127,0.071428571,7,0.26984127,2,2.32448640709135
"93","bic",242,35,20,0.7,2,1.7,6,0.204081633,0.285714286,7,0.204081633,2,1.75801493168745
"94","bic",242,40,25,0.7,4,1.9,6,0.244897959,0.071428571,7,0.244897959,7,2.10961791285638
"95","bic",242,40,25,0.9,4,2.8,6,0.301587302,0.071428571,7,0.301587302,7,2.59795539818781
"96","bic",242,45,30,0.5,4,1.6,4,0.314285714,0,7,0.314285714,12,2.70734298773498
"97","bic",242,45,30,0.7,4,2.5,6,0.367346939,0.071428571,7,0.367346939,12,3.16442687359171
"98","bic",242,50,35,0.9,6,0.9,6,0,0,7,0,17,0
"99","bic",242,50,35,1.6,4,1.6,4,0,0,7,0,17,0
"100","bic",243,15,0,0.5,2,0.5,2,0,0,8,0,-18,0
"101","bic",243,20,5,0.2,2,0.3,2,0.071428571,0,8,0.071428571,-13,0.615305221352759
"102","bic",243,25,10,0.4,2,0.9,4,0.178571429,0.142857143,8,0.178571429,-8,1.53826306630331
"103","bic",243,25,10,0.5,2,0.5,4,0,0.142857143,8,0,-8,0
"104","bic",243,35,20,0.3,2,0.4,2,0.047619048,0,8,0.047619048,2,0.410203486644688
"105","bic",243,40,25,0.7,4,3.2,4,0.510204082,0,8,0.510204082,7,4.3950373249115
"106","bic",243,40,25,0.5,2,0.6,2,0.028571429,0,8,0.028571429,7,0.246122093709667
"107","bic",243,45,30,0.4,2,0.4,2,0,0,8,0,12,0
"108","bic",243,45,30,0.5,2,0.7,2,0.057142857,0,8,0.057142857,12,0.492244178805062
"109","bic",243,50,35,1.1,4,1.1,4,0,0,8,0,17,0
"110","bic",244,15,0,1.5,4,1.6,4,0.00952381,0,9,0.00952381,-18,0.0820407007746469
"111","bic",244,15,0,1.5,4,1.6,4,0.00952381,0,9,0.00952381,-18,0.0820407007746469
"112","bic",244,20,5,1,4,1.1,4,0.014285714,0,9,0.014285714,-13,0.123061042547697
"113","bic",244,20,5,0.8,4,1.2,6,0.071428571,0.071428571,9,0.071428571,-13,0.615305221352759
"114","bic",244,25,10,0.8,4,2.4,6,0.285714286,0.071428571,9,0.285714286,-8,2.46122090263958
"115","bic",244,25,10,0.9,6,2.6,8,0.26984127,0.047619048,9,0.26984127,-8,2.32448640709135
"116","bic",244,30,15,0.7,4,2.4,6,0.346938776,0.071428571,9,0.346938776,-3,2.98862538300724
"117","bic",244,30,15,0.7,2,0.8,4,0.020408163,0.142857143,9,0.020408163,-3,0.175801490584463
"118","bic",244,35,20,0.8,6,3.6,8,0.5,0.047619048,9,0.5,2,4.30713657531213
"119","bic",244,40,25,0.8,2,0.9,4,0.017857143,0.142857143,9,0.017857143,7,0.153826307491758
"120","bic",244,40,25,0.8,2,2,6,0.214285714,0.285714286,9,0.214285714,7,1.84591567267255
"121","bic",244,45,30,0.5,4,1.9,6,0.4,0.071428571,9,0.4,12,3.4457092602497
"122","bic",244,45,30,0.5,4,1.3,4,0.228571429,0,9,0.228571429,12,1.96897672383452
"123","bic",244,50,35,1.2,2,0,0,0,0,9,0,17,0
"124","bic",244,50,35,0.8,4,1.1,4,0.053571429,0,9,0.053571429,17,0.461478922475274
"125","bic",245,15,0,0.6,2,0.7,2,0.023809524,0,10,0.023809524,-18,0.205101743322344
"126","bic",245,15,0,1,4,1.2,4,0.028571429,0,10,0.028571429,-18,0.246122093709667
"127","bic",245,20,5,0.8,4,1,6,0.035714286,0.071428571,10,0.035714286,-13,0.307652614983516
"128","bic",245,20,5,0.6,4,0.9,4,0.071428571,0,10,0.071428571,-13,0.615305221352759
"129","bic",245,25,10,0.3,2,0.3,2,0,0,10,0,-8,0
"130","bic",245,25,10,1.2,4,1.6,6,0.047619048,0.071428571,10,0.047619048,-8,0.410203486644688
"131","bic",245,30,15,0.7,4,3.4,6,0.551020408,0.071428571,10,0.551020408,-3,4.74664030608043
"132","bic",245,30,15,0.7,4,2,6,0.265306122,0.071428571,10,0.265306122,-3,2.28541940344084
"133","bic",245,35,20,0.5,2,0.9,4,0.114285714,0.142857143,10,0.114285714,2,0.984488357610123
"134","bic",245,35,20,1.2,4,3.2,6,0.238095238,0.071428571,10,0.238095238,2,2.05101741599489
"135","bic",245,40,25,1,4,3.4,6,0.342857143,0.071428571,10,0.342857143,7,2.95346508144464
"136","bic",245,40,25,0.6,4,1.6,6,0.238095238,0.071428571,10,0.238095238,7,2.05101741599489
"137","bic",245,45,30,1.5,4,2.6,4,0.104761905,0,10,0.104761905,12,0.90244766544975
"138","bic",245,45,30,1.1,4,2.3,4,0.155844156,0,10,0.155844156,12,1.3424841287125
"139","bic",245,50,35,1.3,6,1.3,6,0,0,10,0,17,0
"140","bic",245,50,35,0.6,4,0.8,4,0.047619048,0,10,0.047619048,17,0.410203486644688
"141","bic",246,15,0,0.6,2,0.7,2,0.023809524,0,11,0.023809524,-18,0.205101743322344
"142","bic",246,15,0,1.2,4,1.3,4,0.011904762,0,11,0.011904762,-18,0.102550871661172
"143","bic",246,20,5,1.1,4,1.3,6,0.025974026,0.071428571,11,0.025974026,-13,0.223747354785416
"144","bic",246,20,5,1.6,4,2.1,6,0.044642857,0.071428571,11,0.044642857,-13,0.384565764422258
"145","bic",246,25,10,0.9,2,1.1,4,0.031746032,0.142857143,11,0.031746032,-8,0.273468991096459
"146","bic",246,25,10,0.9,2,0.9,4,0,0.142857143,11,0,-8,0
"147","bic",246,30,15,0.9,4,1.8,4,0.142857143,0,11,0.142857143,-3,1.23061045131979
"148","bic",246,30,15,1.5,6,3.9,6,0.228571429,0,11,0.228571429,-3,1.96897672383452
"149","bic",246,35,20,0.4,2,0.7,4,0.107142857,0.142857143,11,0.107142857,2,0.922957836336275
"150","bic",246,35,20,0.8,4,1.8,6,0.178571429,0.071428571,11,0.178571429,2,1.53826306630331
"151","bic",246,40,25,0.8,2,1,4,0.035714286,0.142857143,11,0.035714286,7,0.307652614983516
"152","bic",246,40,25,1.7,4,3.1,4,0.117647059,0,11,0.117647059,7,1.01344390159361
"153","bic",246,45,30,1,2,2,4,0.142857143,0.142857143,11,0.142857143,12,1.23061045131979
"154","bic",246,45,30,0.4,2,0.5,2,0.035714286,0,11,0.035714286,12,0.307652614983516
"155","bic",246,50,35,1.9,6,1.9,6,0,0,11,0,17,0
"156","bic",246,50,35,1,2,0,0,0,0,11,0,17,0
"157","bic",247,15,0,0.9,2,0.9,2,0,0,12,0,-18,0
"158","bic",247,20,5,0.9,4,1.4,6,0.079365079,0.071428571,12,0.079365079,-13,0.683672469126873
"159","bic",247,20,5,0.7,4,1.3,6,0.12244898,0.071428571,12,0.12244898,-13,1.05480896073533
"160","bic",247,25,10,0.8,4,1.5,6,0.125,0.071428571,12,0.125,-8,1.07678414382803
"161","bic",247,25,10,0.9,4,1.5,6,0.095238095,0.071428571,12,0.095238095,-8,0.820406964675103
"162","bic",247,30,15,0.8,4,2.7,8,0.339285714,0.142857143,12,0.339285714,-3,2.92269981650058
"163","bic",247,30,15,0.5,2,0.6,4,0.028571429,0.142857143,12,0.028571429,-3,0.246122093709667
"164","bic",247,35,20,0.4,2,0.6,4,0.071428571,0.142857143,12,0.071428571,2,0.615305221352759
"165","bic",247,40,25,1.1,2,3.1,6,0.25974026,0.285714286,12,0.25974026,7,2.23747354785416
"166","bic",247,40,25,0.9,4,2.6,6,0.26984127,0.071428571,12,0.26984127,7,2.32448640709135
"167","bic",247,45,30,0.6,2,0.8,2,0.047619048,0,12,0.047619048,12,0.410203486644688
"168","bic",247,45,30,0.6,2,0.9,2,0.071428571,0,12,0.071428571,12,0.615305221352759
"169","bic",247,50,35,1.1,2,0,0,0,0,12,0,17,0
"170","bic",247,50,35,0.5,2,0,0,0,0,12,0,17,0
"171","bic",248,15,0,0.7,4,0.8,4,0.020408163,0,13,0.020408163,-18,0.175801490584463
"172","bic",248,15,0,0.4,2,0.6,2,0.071428571,0,13,0.071428571,-18,0.615305221352759
"173","bic",248,20,5,0.9,4,2.1,6,0.19047619,0.071428571,13,0.19047619,-13,1.64081392935021
"174","bic",248,20,5,0.1,2,0.3,2,0.285714286,0,13,0.285714286,-13,2.46122090263958
"175","bic",248,25,10,0.6,4,1.1,4,0.119047619,0,13,0.119047619,-8,1.02550870799745
"176","bic",248,30,15,0.5,2,0.8,4,0.085714286,0.142857143,13,0.085714286,-3,0.738366272514729
"177","bic",248,30,15,0.6,2,0.9,4,0.071428571,0.142857143,13,0.071428571,-3,0.615305221352759
"178","bic",248,35,20,1,4,2.5,6,0.214285714,0.071428571,13,0.214285714,2,1.84591567267255
"179","bic",248,40,25,0.5,2,0.6,4,0.028571429,0.142857143,13,0.028571429,7,0.246122093709667
"180","bic",248,40,25,0.2,2,0.3,2,0.071428571,0,13,0.071428571,7,0.615305221352759
"181","bic",248,45,30,0.5,2,0.5,2,0,0,13,0,12,0
"182","bic",248,45,30,0.6,2,0.6,2,0,0,13,0,12,0
"183","bic",248,50,35,0.6,4,1.1,4,0.119047619,0,13,0.119047619,17,1.02550870799745
"184","bic",248,50,35,1,4,0,0,0,0,13,0,17,0
"185","bic",249,15,0,0.6,2,0.9,2,0.071428571,0,14,0.071428571,-18,0.615305221352759
"186","bic",249,15,0,1.1,4,1.3,4,0.025974026,0,14,0.025974026,-18,0.223747354785416
"187","bic",249,20,5,0.8,2,0.9,4,0.017857143,0.142857143,14,0.017857143,-13,0.153826307491758
"188","bic",249,20,5,0.4,2,0.5,2,0.035714286,0,14,0.035714286,-13,0.307652614983516
"189","bic",249,25,10,0.8,4,1.5,6,0.125,0.071428571,14,0.125,-8,1.07678414382803
"190","bic",249,25,10,0.8,2,0.8,4,0,0.142857143,14,0,-8,0
"191","bic",249,30,15,0.3,2,0.3,2,0,0,14,0,-3,0
"192","bic",249,30,15,0.4,4,1.1,6,0.25,0.071428571,14,0.25,-3,2.15356828765607
"193","bic",249,35,20,0.7,4,1.6,4,0.183673469,0,14,0.183673469,2,1.58221343248872
"194","bic",249,35,20,0.4,2,0.4,2,0,0,14,0,2,0
"195","bic",249,40,25,0.6,2,1.3,4,0.166666667,0.142857143,14,0.166666667,7,1.43571219464213
"196","bic",249,40,25,0.8,2,1,4,0.035714286,0.142857143,14,0.035714286,7,0.307652614983516
"197","bic",249,45,30,0.5,2,0.5,2,0,0,14,0,12,0
"198","bic",249,45,30,0.4,2,0.4,2,0,0,14,0,12,0
"199","bic",249,50,35,1.1,4,1.7,4,0.077922078,0,14,0.077922078,17,0.671242064356249
"200","bic",249,50,35,1.3,4,1.3,4,0,0,14,0,17,0
"201","bic",250,15,0,0.7,4,0.7,4,0,0,15,0,-18,0
"202","bic",250,15,0,0.7,4,0.8,4,0.020408163,0,15,0.020408163,-18,0.175801490584463
"203","bic",250,20,5,0.7,4,1,6,0.06122449,0.071428571,15,0.06122449,-13,0.527404480367664
"204","bic",250,20,5,0.8,4,1.2,4,0.071428571,0,15,0.071428571,-13,0.615305221352759
"205","bic",250,25,10,0.6,2,0.6,2,0,0,15,0,-8,0
"206","bic",250,25,10,1.5,4,2.3,6,0.076190476,0.071428571,15,0.076190476,-8,0.656325571740082
"207","bic",250,30,15,1.2,4,3.3,6,0.25,0.071428571,15,0.25,-3,2.15356828765607
"208","bic",250,30,15,0.4,2,0.5,4,0.035714286,0.142857143,15,0.035714286,-3,0.307652614983516
"209","bic",250,35,20,2,4,5.1,6,0.221428571,0.071428571,15,0.221428571,2,1.9074461939464
"210","bic",250,35,20,0.6,4,2.6,6,0.476190476,0.071428571,15,0.476190476,2,4.10203483198979
"211","bic",250,40,25,0.8,4,1.5,4,0.125,0,15,0.125,7,1.07678414382803
"212","bic",250,40,25,0.6,2,1.3,4,0.166666667,0.142857143,15,0.166666667,7,1.43571219464213
"213","bic",250,45,30,0.5,2,0.8,2,0.085714286,0,15,0.085714286,12,0.738366272514729
"214","bic",250,45,30,0.9,4,1.4,4,0.079365079,0,15,0.079365079,12,0.683672469126873
"215","bic",250,50,35,1.2,4,1.2,4,0,0,15,0,17,0
"216","bic",250,50,35,0.4,4,0.4,4,0,0,15,0,17,0
"217","bic",251,15,0,0.5,2,0.7,2,0.057142857,0,16,0.057142857,-18,0.492244178805062
"218","bic",251,15,0,1,4,1,4,0,0,16,0,-18,0
"219","bic",251,20,5,1,4,1.2,6,0.028571429,0.071428571,16,0.028571429,-13,0.246122093709667
"220","bic",251,20,5,0.6,4,0.8,4,0.047619048,0,16,0.047619048,-13,0.410203486644688
"221","bic",251,25,10,0.7,2,0.7,4,0,0.142857143,16,0,-8,0
"222","bic",251,25,10,0.9,4,1.9,8,0.158730159,0.142857143,16,0.158730159,-8,1.36734494686802
"223","bic",251,35,20,0.6,2,0.6,4,0,0.142857143,16,0,2,0
"224","bic",251,35,20,0.4,2,0.4,2,0,0,16,0,2,0
"225","bic",251,40,25,0.8,2,0.8,4,0,0.142857143,16,0,7,0
"226","bic",251,40,25,1,4,3.3,4,0.328571429,0,16,0.328571429,7,2.83040403889695
"227","bic",251,45,30,0.8,2,0.8,4,0,0.142857143,16,0,12,0
"228","bic",251,50,35,0.3,2,0.5,2,0.095238095,0,16,0.095238095,17,0.820406964675103
"229","bic",251,50,35,0.7,2,1.1,4,0.081632653,0.142857143,16,0.081632653,17,0.703205970952127
"230","bic",252,15,0,1.4,4,1.9,4,0.051020408,0,17,0.051020408,-18,0.439503730768295
"231","bic",252,15,0,0.7,4,0.8,4,0.020408163,0,17,0.020408163,-18,0.175801490584463
"232","bic",252,20,5,0.7,4,1.4,4,0.142857143,0,17,0.142857143,-13,1.23061045131979
"233","bic",252,20,5,1,4,1.8,6,0.114285714,0.071428571,17,0.114285714,-13,0.984488357610123
"234","bic",252,25,10,0.3,2,0.4,4,0.047619048,0.142857143,17,0.047619048,-8,0.410203486644688
"235","bic",252,25,10,0.9,4,3.3,6,0.380952381,0.071428571,17,0.380952381,-8,3.28162786731468
"236","bic",252,30,15,1,6,3.7,8,0.385714286,0.047619048,17,0.385714286,-3,3.32264821770201
"237","bic",252,30,15,0.9,4,2.6,6,0.26984127,0.071428571,17,0.26984127,-3,2.32448640709135
"238","bic",252,35,20,0.7,4,1.1,6,0.081632653,0.071428571,17,0.081632653,2,0.703205970952127
"239","bic",252,35,20,0.7,4,2.9,4,0.448979592,0,17,0.448979592,2,3.86763284454384
"240","bic",252,40,25,0.9,2,0.9,2,0,0,17,0,7,0
"241","bic",252,40,25,0.8,4,2.8,6,0.357142857,0.071428571,17,0.357142857,7,3.07652612399234
"242","bic",252,45,30,0.5,2,0.6,4,0.028571429,0.142857143,17,0.028571429,12,0.246122093709667
"243","bic",252,50,35,1.4,4,1.4,4,0,0,17,0,17,0
"244","bic",253,15,0,0.8,2,0.8,2,0,0,18,0,-18,0
"245","bic",253,15,0,0.7,2,0.9,2,0.040816327,0,18,0.040816327,-18,0.3516029897832
"246","bic",253,20,5,0.6,2,0.6,2,0,0,18,0,-13,0
"247","bic",253,20,5,1,2,1.1,4,0.014285714,0.142857143,18,0.014285714,-13,0.123061042547697
"248","bic",253,25,10,1.3,4,2.9,6,0.175824176,0.071428571,18,0.175824176,-8,1.51459747854743
"249","bic",253,25,10,0.9,2,1.1,4,0.031746032,0.142857143,18,0.031746032,-8,0.273468991096459
"250","bic",253,30,15,0.8,2,0.8,4,0,0.142857143,18,0,-3,0
"251","bic",253,30,15,0.4,2,0.5,2,0.035714286,0,18,0.035714286,-3,0.307652614983516
"252","bic",253,35,20,0.5,2,0.6,2,0.028571429,0,18,0.028571429,2,0.246122093709667
"253","bic",253,35,20,0.1,2,0.2,2,0.142857143,0,18,0.142857143,2,1.23061045131979
"254","bic",253,40,25,1.2,4,3.1,4,0.226190476,0,18,0.226190476,7,1.94846654433372
"255","bic",253,40,25,0.6,2,0.8,4,0.047619048,0.142857143,18,0.047619048,7,0.410203486644688
"256","bic",253,45,30,0.5,2,0.5,2,0,0,18,0,12,0
"257","bic",253,50,35,1,2,0,0,0,0,18,0,17,0
"258","bic",253,50,35,1.3,4,1.6,6,0.032967033,0.071428571,18,0.032967033,17,0.283987027227644
"259","bic",254,15,0,0.4,2,0.5,2,0.035714286,0,19,0.035714286,-18,0.307652614983516
"260","bic",254,15,0,0.8,2,0.9,4,0.017857143,0.142857143,19,0.017857143,-18,0.153826307491758
"261","bic",254,20,5,0.9,4,1.4,6,0.079365079,0.071428571,19,0.079365079,-13,0.683672469126873
"262","bic",254,20,5,1.1,4,1.8,4,0.090909091,0,19,0.090909091,-13,0.783115741748958
"263","bic",254,25,10,1,2,1,4,0,0.142857143,19,0,-8,0
"264","bic",254,25,10,0.4,2,0.4,2,0,0,19,0,-8,0
"265","bic",254,30,15,0.6,2,0.9,4,0.071428571,0.142857143,19,0.071428571,-3,0.615305221352759
"266","bic",254,35,20,0.7,2,1.1,2,0.081632653,0,19,0.081632653,2,0.703205970952127
"267","bic",254,35,20,0.6,2,0.7,4,0.023809524,0.142857143,19,0.023809524,2,0.205101743322344
"268","bic",254,40,25,1.1,4,2.8,4,0.220779221,0,19,0.220779221,7,1.90185251567604
