"","group","sp","ps"
"1",1,"bic",0.673983766233766
"2",2,"car",0.410702380952381
"3",3,"eas",0.444440476190476
"4",4,"fil",0.629363095238095
"5",5,"flo",0.537571428571429
"6",6,"gut",0.709571428571429
"7",7,"lac",0.624826530612245
"8",8,"nor",0.520186507936508
"9",9,"par",0.511659663865546
"10",10,"ver",0.427119047619048
