"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[1208]",-0.56,0,0.21,-1.07,-0.68,-0.53,-0.41,-0.25,12143.67,1
"log_lik[1209]",-3.28,0.01,1.02,-5.75,-3.78,-3.08,-2.56,-1.86,12376.48,1
"log_lik[1210]",-0.28,0,0.12,-0.56,-0.35,-0.27,-0.2,-0.1,11084.71,1
"log_lik[1211]",-0.28,0,0.12,-0.56,-0.35,-0.27,-0.2,-0.1,11084.71,1
"log_lik[1212]",-0.28,0,0.12,-0.56,-0.35,-0.27,-0.2,-0.1,11084.71,1
"log_lik[1213]",-0.06,0,0.06,-0.21,-0.09,-0.05,-0.02,0.02,8306.54,1
"log_lik[1214]",-0.06,0,0.06,-0.21,-0.09,-0.05,-0.02,0.02,8306.54,1
"log_lik[1215]",-0.06,0,0.06,-0.21,-0.09,-0.05,-0.02,0.02,8306.54,1
"log_lik[1216]",-0.06,0,0.06,-0.21,-0.09,-0.05,-0.02,0.02,8306.54,1
"log_lik[1217]",-2.1,0,0.41,-3,-2.35,-2.07,-1.81,-1.39,10861.33,1
"log_lik[1218]",-0.33,0,0.13,-0.63,-0.41,-0.31,-0.23,-0.13,11399.95,1
"log_lik[1219]",-2.98,0.01,0.76,-4.83,-3.38,-2.86,-2.45,-1.87,13383.35,1
"log_lik[1220]",-0.33,0,0.13,-0.63,-0.41,-0.31,-0.23,-0.13,11399.95,1
"log_lik[1221]",-0.6,0,0.19,-1.04,-0.71,-0.57,-0.46,-0.28,11682.38,1
"log_lik[1222]",-1.93,0,0.32,-2.62,-2.13,-1.91,-1.7,-1.34,11261.15,1
"log_lik[1223]",-1.93,0,0.32,-2.62,-2.13,-1.91,-1.7,-1.34,11261.15,1
"log_lik[1224]",-0.6,0,0.19,-1.04,-0.71,-0.57,-0.46,-0.28,11682.38,1
"log_lik[1225]",-0.88,0,0.29,-1.53,-1.05,-0.84,-0.67,-0.42,11606.79,1
"log_lik[1226]",-1.94,0,0.31,-2.6,-2.13,-1.92,-1.72,-1.39,13391.25,1
"log_lik[1227]",-0.88,0,0.29,-1.53,-1.05,-0.84,-0.67,-0.42,11606.79,1
"log_lik[1228]",-2.04,0,0.33,-2.77,-2.24,-2.01,-1.8,-1.47,14103.63,1
"log_lik[1229]",-2.04,0,0.33,-2.77,-2.24,-2.01,-1.8,-1.47,14103.63,1
"log_lik[1230]",-1.03,0,0.34,-1.8,-1.25,-1,-0.79,-0.48,11855.91,1
"log_lik[1231]",-2.61,0,0.49,-3.77,-2.88,-2.54,-2.27,-1.86,11920.68,1
"log_lik[1232]",-0.96,0,0.31,-1.66,-1.15,-0.92,-0.73,-0.46,12471.15,1
"log_lik[1233]",-2.56,0,0.5,-3.74,-2.85,-2.49,-2.21,-1.78,15205.71,1
"log_lik[1234]",-1.99,0,0.33,-2.71,-2.19,-1.97,-1.76,-1.43,13665.71,1
"log_lik[1235]",-2.82,0.01,0.58,-4.2,-3.14,-2.73,-2.42,-1.95,11924.07,1
"log_lik[1236]",-0.66,0,0.21,-1.17,-0.79,-0.64,-0.51,-0.33,11894.72,1
"log_lik[1237]",-0.66,0,0.21,-1.17,-0.79,-0.64,-0.51,-0.33,11894.72,1
"log_lik[1238]",-0.66,0,0.21,-1.17,-0.79,-0.64,-0.51,-0.33,11894.72,1
"log_lik[1239]",-0.66,0,0.21,-1.17,-0.79,-0.64,-0.51,-0.33,11894.72,1
"log_lik[1240]",-3.03,0.01,0.91,-5.29,-3.49,-2.87,-2.38,-1.77,12294.07,1
