"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"nu[11]",4.63,0.01,0.89,3,4.01,4.6,5.21,6.5,11208.08,1
"mu_shape1",4.6,0.01,0.46,3.74,4.29,4.6,4.91,5.53,2875.65,1
"mu_shape2",4.04,0.01,0.58,3.03,3.63,4,4.4,5.28,2544.78,1
"mu_stretch",0.96,0,0.3,0.37,0.75,0.96,1.16,1.55,12332.2,1
"mu_min",-18.12,0.02,1,-20.09,-18.77,-18.13,-17.45,-16.16,1715.18,1
"mu_max",18.13,0.01,0.77,16.57,17.63,18.15,18.65,19.6,3876.5,1
"mu_nu",0.78,0,0.17,0.48,0.66,0.77,0.89,1.16,11454.88,1
"mu_beta0",3.27,0.01,0.6,2.15,2.85,3.26,3.66,4.48,3466.42,1
"mu_beta1",1.37,0.01,0.71,0.05,0.88,1.34,1.82,2.85,2818.83,1
"beta_0[1]",3.68,0.01,1,1.82,2.99,3.64,4.35,5.73,6845.36,1
"beta_0[2]",3.56,0.01,1.05,1.6,2.82,3.53,4.27,5.67,7483.94,1
"beta_0[3]",3.55,0.01,1.03,1.65,2.84,3.52,4.24,5.65,7355.41,1
"beta_0[4]",3.49,0.01,1.07,1.48,2.76,3.47,4.21,5.62,6687.75,1
"beta_0[5]",3.56,0.01,1.04,1.66,2.83,3.53,4.24,5.69,6628.98,1
"beta_0[6]",3.56,0.01,1.03,1.65,2.84,3.53,4.24,5.64,7151.52,1
"beta_0[7]",3.58,0.01,1.01,1.69,2.88,3.54,4.26,5.65,7110.48,1
"beta_0[8]",3.57,0.01,1,1.73,2.87,3.54,4.23,5.64,7098.88,1
"beta_0[9]",3.53,0.01,1.05,1.55,2.8,3.51,4.22,5.64,7227.34,1
"beta_0[10]",3.48,0.01,1.06,1.51,2.75,3.45,4.17,5.65,6724.13,1
"beta_0[11]",3.6,0.01,0.99,1.75,2.91,3.57,4.25,5.62,6893.15,1
"beta_1[1]",1.49,0.02,1.18,-0.76,0.68,1.47,2.28,3.86,5539.48,1
"beta_1[2]",1.52,0.01,1.11,-0.51,0.73,1.49,2.26,3.8,5575.42,1
"beta_1[3]",1.53,0.01,1.12,-0.52,0.75,1.5,2.28,3.8,5842.25,1
"beta_1[4]",1.58,0.02,1.06,-0.17,0.78,1.48,2.28,3.87,4950.01,1
"beta_1[5]",1.55,0.01,1.08,-0.33,0.77,1.47,2.25,3.8,5391.62,1
"beta_1[6]",1.39,0.02,1.19,-0.9,0.56,1.38,2.2,3.77,5742.65,1
"beta_1[7]",1.44,0.02,1.19,-0.85,0.61,1.44,2.23,3.82,5541.63,1
"beta_1[8]",1.46,0.02,1.16,-0.71,0.65,1.41,2.24,3.83,5481.97,1
"beta_1[9]",1.57,0.01,1.06,-0.2,0.79,1.49,2.25,3.85,5385.26,1
"beta_1[10]",1.5,0.02,1.11,-0.49,0.71,1.46,2.23,3.82,5286.3,1
"beta_1[11]",1.43,0.02,1.21,-0.91,0.62,1.43,2.24,3.79,5420.48,1
"x_min[1]",-18.2,0.03,1.41,-20.96,-19.15,-18.18,-17.22,-15.52,2799.2,1
"x_min[2]",-18.15,0.03,1.42,-20.94,-19.1,-18.17,-17.19,-15.37,2630.6,1
"x_min[3]",-18.12,0.03,1.42,-20.94,-19.06,-18.11,-17.17,-15.38,2642.55,1
"x_min[4]",-18.05,0.03,1.38,-20.81,-18.97,-18.06,-17.12,-15.34,2618.22,1
"x_min[5]",-18.36,0.03,1.4,-21.15,-19.29,-18.36,-17.42,-15.63,2746.1,1
"x_min[6]",-18.08,0.03,1.4,-20.83,-19.04,-18.08,-17.12,-15.33,2733.8,1
"x_min[7]",-18.17,0.03,1.39,-20.89,-19.11,-18.19,-17.25,-15.41,2744.31,1
"x_min[8]",-18.13,0.03,1.4,-20.88,-19.08,-18.13,-17.18,-15.39,2657.64,1
"x_min[9]",-17.95,0.03,1.42,-20.68,-18.9,-17.95,-17.02,-15.19,2468.2,1
"x_min[10]",-18.05,0.03,1.41,-20.81,-19,-18.05,-17.11,-15.28,2670.4,1
"x_min[11]",-18.13,0.03,1.42,-20.95,-19.07,-18.13,-17.18,-15.31,2748.71,1
"x_max[1]",18.39,0.02,1.28,15.83,17.54,18.42,19.25,20.83,6659.77,1
"x_max[2]",18.02,0.01,1.2,15.68,17.21,18.03,18.83,20.35,6609.95,1
"x_max[3]",18.4,0.02,1.28,15.63,17.61,18.49,19.3,20.67,5153.95,1
"x_max[4]",17.73,0.01,0.99,15.8,17.08,17.72,18.37,19.68,6051.86,1
"x_max[5]",18.19,0.01,1.13,16.03,17.43,18.17,18.96,20.45,6334.42,1
"x_max[6]",17.96,0.02,1.2,15.62,17.15,17.97,18.76,20.33,6155.33,1
"x_max[7]",18.5,0.02,1.37,15.69,17.6,18.56,19.45,21.07,5620.52,1
"x_max[8]",18.54,0.02,1.25,15.87,17.78,18.61,19.39,20.8,5622.26,1
"x_max[9]",18.02,0.01,1.12,15.76,17.25,18.06,18.79,20.12,6699.04,1
"x_max[10]",18.87,0.01,1.03,16.8,18.2,18.84,19.53,20.93,6499.96,1
"x_max[11]",18.01,0.02,1.29,15.44,17.13,18.04,18.89,20.49,6022.54,1
"mu[1]",0,0,0,0,0,0,0,0,6235.16,1
"mu[2]",0,0,0,0,0,0,0,0,6235.16,1
"mu[3]",0.02,0,0.03,0,0,0.01,0.03,0.1,4018.24,1
"mu[4]",0.02,0,0.03,0,0,0.01,0.03,0.1,4018.24,1
"mu[5]",0.13,0,0.09,0.02,0.06,0.11,0.17,0.36,5525.79,1
"mu[6]",0.13,0,0.09,0.02,0.06,0.11,0.17,0.36,5525.79,1
"mu[7]",0.38,0,0.17,0.11,0.26,0.36,0.48,0.75,8842.9,1
"mu[8]",0.38,0,0.17,0.11,0.26,0.36,0.48,0.75,8842.9,1
"mu[9]",0.74,0,0.22,0.34,0.59,0.73,0.88,1.22,10723.94,1
"mu[10]",0.74,0,0.22,0.34,0.59,0.73,0.88,1.22,10723.94,1
"mu[11]",0.98,0,0.27,0.5,0.79,0.95,1.13,1.6,9170.44,1
"mu[12]",0.98,0,0.27,0.5,0.79,0.95,1.13,1.6,9170.44,1
"mu[13]",0.64,0,0.29,0.2,0.44,0.6,0.8,1.31,11183.03,1
"mu[14]",0.64,0,0.29,0.2,0.44,0.6,0.8,1.31,11183.03,1
"mu[15]",0.07,0,0.1,0,0,0.02,0.1,0.36,6434.39,1
"mu[16]",0.07,0,0.1,0,0,0.02,0.1,0.36,6434.39,1
"mu[17]",0,0,0,0,0,0,0,0,6284.42,1
"mu[18]",0,0,0,0,0,0,0,0,6284.42,1
"mu[19]",0.04,0,0.05,0,0.01,0.03,0.06,0.18,5120.23,1
"mu[20]",0.04,0,0.05,0,0.01,0.03,0.06,0.18,5120.23,1
"mu[21]",0.31,0,0.18,0.08,0.19,0.27,0.4,0.76,6607.02,1
"mu[22]",0.31,0,0.18,0.08,0.19,0.27,0.4,0.76,6607.02,1
"mu[23]",1.02,0,0.32,0.49,0.79,0.98,1.21,1.75,9579.28,1
"mu[24]",1.02,0,0.32,0.49,0.79,0.98,1.21,1.75,9579.28,1
"mu[25]",2.12,0,0.46,1.31,1.81,2.08,2.4,3.12,10757.92,1
"mu[26]",2.12,0,0.46,1.31,1.81,2.08,2.4,3.12,10757.92,1
"mu[27]",2.71,0.01,0.67,1.62,2.25,2.63,3.1,4.23,8744.96,1
"mu[28]",2.71,0.01,0.67,1.62,2.25,2.63,3.1,4.23,8744.96,1
"mu[29]",1.44,0.01,0.58,0.59,1.04,1.34,1.73,2.83,10063.95,1
"mu[30]",1.44,0.01,0.58,0.59,1.04,1.34,1.73,2.83,10063.95,1
"mu[31]",0.05,0,0.1,0,0,0.01,0.06,0.34,7877.18,1
"mu[32]",0.05,0,0.1,0,0,0.01,0.06,0.34,7877.18,1
"mu[33]",0,0,0,0,0,0,0,0,7474.89,1
"mu[34]",0,0,0,0,0,0,0,0,7474.89,1
"mu[35]",0.03,0,0.04,0,0.01,0.01,0.03,0.12,6270.98,1
"mu[36]",0.03,0,0.04,0,0.01,0.01,0.03,0.12,6270.98,1
"mu[37]",0.21,0,0.15,0.03,0.1,0.17,0.27,0.61,7647.31,1
"mu[38]",0.21,0,0.15,0.03,0.1,0.17,0.27,0.61,7647.31,1
"mu[39]",0.77,0,0.35,0.25,0.52,0.71,0.96,1.61,10368.52,1
