"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[165]",-0.89,0.01,0.4,-1.91,-1.08,-0.8,-0.62,-0.36,5923.54,1
"log_lik[166]",-0.98,0.01,0.5,-2.16,-1.26,-0.9,-0.62,-0.26,6553.51,1
"log_lik[167]",-1.13,0,0.22,-1.65,-1.22,-1.1,-1.02,-0.67,7354.16,1
"log_lik[168]",-1.43,0,0.34,-2.25,-1.6,-1.37,-1.22,-0.79,7592.13,1
"log_lik[169]",-0.73,0,0.24,-1.36,-0.83,-0.67,-0.58,-0.43,9237,1
"log_lik[170]",-0.23,0,0.32,-1,-0.39,-0.18,-0.01,0.25,8547.47,1
"log_lik[171]",-0.16,0,0.25,-0.69,-0.31,-0.15,0.01,0.29,6985.84,1
"log_lik[172]",-1.29,0.01,0.73,-3.22,-1.58,-1.09,-0.8,-0.44,10490.49,1
"log_lik[173]",-0.55,0,0.33,-1.32,-0.74,-0.5,-0.32,-0.01,9338.05,1
"log_lik[174]",-1.3,0,0.35,-2.14,-1.48,-1.25,-1.07,-0.76,6579.56,1
"log_lik[175]",-2.69,0.01,0.88,-4.8,-3.19,-2.55,-2.06,-1.35,10385.87,1
"log_lik[176]",-1.46,0.01,0.64,-3.17,-1.71,-1.3,-1.03,-0.68,11550.47,1
"log_lik[177]",-0.81,0,0.31,-1.53,-0.98,-0.78,-0.59,-0.31,7704.96,1
"log_lik[178]",-0.11,0,0.21,-0.56,-0.22,-0.11,0,0.32,7891.06,1
"log_lik[179]",0.1,0,0.29,-0.54,-0.06,0.13,0.3,0.58,7852.44,1
"lp__",-184.73,0.18,8.83,-203.45,-190.47,-184.29,-178.62,-168.46,2454.05,1
