"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[69]",-0.1,0,0.18,-0.52,-0.18,-0.06,0.02,0.18,8936.7,1
"log_lik[70]",-0.09,0,0.31,-0.81,-0.26,-0.05,0.12,0.41,8118.86,1
"log_lik[71]",-0.72,0,0.44,-1.75,-0.97,-0.66,-0.42,-0.05,12825.12,1
"log_lik[72]",-0.37,0,0.34,-1.16,-0.56,-0.32,-0.13,0.18,9681.9,1
"log_lik[73]",-0.98,0,0.4,-1.89,-1.21,-0.93,-0.7,-0.35,15269.07,1
"log_lik[74]",-2.46,0.01,1.17,-5.48,-3.01,-2.18,-1.6,-1.03,16987.43,1
"log_lik[75]",-1.04,0.01,0.41,-2.08,-1.22,-0.97,-0.77,-0.46,6482.69,1
"log_lik[76]",-1.64,0.01,0.67,-3.22,-2,-1.54,-1.17,-0.63,13566.21,1
"log_lik[77]",-0.51,0.01,0.47,-1.72,-0.71,-0.42,-0.2,0.12,8006.28,1
"log_lik[78]",-0.3,0,0.15,-0.64,-0.36,-0.29,-0.24,0.01,8923.38,1
"log_lik[79]",0.32,0,0.23,-0.17,0.17,0.33,0.48,0.75,10874.27,1
"log_lik[80]",0.08,0,0.21,-0.36,-0.05,0.07,0.21,0.48,9183.38,1
"log_lik[81]",-0.44,0,0.39,-1.34,-0.66,-0.39,-0.17,0.17,10133.77,1
"log_lik[82]",-0.1,0,0.25,-0.59,-0.27,-0.1,0.08,0.38,7238.33,1
"log_lik[83]",-0.41,0,0.46,-1.51,-0.65,-0.33,-0.09,0.27,16940.69,1
"log_lik[84]",-1.12,0.01,0.68,-2.7,-1.51,-1.03,-0.63,-0.1,12440.62,1
"log_lik[85]",-0.4,0.01,0.36,-1.28,-0.58,-0.35,-0.16,0.16,4716.06,1
"log_lik[86]",-0.11,0,0.33,-0.95,-0.27,-0.07,0.11,0.39,10768.93,1
"log_lik[87]",-0.92,0.01,0.73,-2.76,-1.3,-0.75,-0.39,0.04,9934.25,1
"log_lik[88]",-1.09,0,0.5,-2.29,-1.31,-1,-0.78,-0.2,11841.06,1
"log_lik[89]",-0.38,0,0.18,-0.85,-0.44,-0.32,-0.26,-0.17,12355.65,1
"log_lik[90]",-2.07,0.01,1.02,-4.46,-2.67,-1.94,-1.35,-0.4,14306.33,1
"log_lik[91]",-0.02,0,0.27,-0.48,-0.23,-0.04,0.17,0.51,7929.56,1
"log_lik[92]",-0.63,0.01,0.64,-2.28,-0.92,-0.47,-0.19,0.17,10919.18,1
"log_lik[93]",-0.15,0,0.34,-0.99,-0.31,-0.09,0.09,0.36,9659.53,1
"log_lik[94]",-0.63,0,0.37,-1.51,-0.83,-0.56,-0.36,-0.07,13891.49,1
"log_lik[95]",-0.85,0,0.47,-1.98,-1.11,-0.77,-0.5,-0.15,15439.11,1
"log_lik[96]",-0.86,0,0.35,-1.68,-1.06,-0.82,-0.62,-0.29,11531.91,1
"log_lik[97]",-0.86,0,0.3,-1.57,-1.02,-0.83,-0.66,-0.4,7206.99,1
"log_lik[98]",-0.75,0,0.34,-1.55,-0.94,-0.7,-0.51,-0.21,9557.91,1
"log_lik[99]",-1.55,0.01,0.69,-3.39,-1.83,-1.36,-1.07,-0.74,12721.37,1
"log_lik[100]",-0.3,0,0.33,-1.09,-0.47,-0.25,-0.08,0.2,7854.71,1
"log_lik[101]",-0.39,0,0.35,-1.24,-0.55,-0.33,-0.15,0.13,8105.29,1
"log_lik[102]",0.49,0,0.23,0.01,0.35,0.5,0.65,0.89,9146.82,1
"log_lik[103]",0.49,0,0.23,0.01,0.35,0.5,0.65,0.89,9146.82,1
"log_lik[104]",0.67,0,0.33,-0.05,0.46,0.69,0.9,1.25,7552.4,1
"log_lik[105]",-0.18,0.01,0.7,-1.96,-0.48,-0.03,0.3,0.74,8654.41,1
"log_lik[106]",-0.52,0.01,0.61,-2.11,-0.78,-0.4,-0.1,0.32,8332.19,1
"log_lik[107]",-0.52,0.01,0.59,-1.99,-0.79,-0.41,-0.13,0.29,6660.41,1
"log_lik[108]",-0.83,0.01,0.75,-2.73,-1.19,-0.68,-0.31,0.18,13169.76,1
"log_lik[109]",0.15,0.01,0.48,-1,-0.08,0.22,0.47,0.88,7127.94,1
"log_lik[110]",-1.17,0.01,0.73,-2.89,-1.52,-1.06,-0.68,-0.09,6682.87,1
"log_lik[111]",-0.62,0.01,0.6,-1.98,-0.98,-0.56,-0.2,0.37,5433.64,1
"log_lik[112]",0.31,0.01,0.56,-1.03,0.01,0.37,0.69,1.21,5491.34,1
"log_lik[113]",0.05,0.01,0.68,-1.52,-0.34,0.14,0.53,1.14,7210.39,1
"log_lik[114]",-0.19,0,0.09,-0.43,-0.23,-0.17,-0.13,-0.11,6660.37,1
"log_lik[115]",-0.07,0,0.1,-0.33,-0.11,-0.04,-0.01,0.03,7232.3,1
"log_lik[116]",-0.21,0,0.14,-0.5,-0.29,-0.22,-0.13,0.1,7943.16,1
"log_lik[117]",-0.19,0,0.24,-0.7,-0.34,-0.17,-0.01,0.24,8981.25,1
"log_lik[118]",-1.09,0.01,0.56,-2.54,-1.29,-0.94,-0.72,-0.42,11614.3,1
"log_lik[119]",-0.66,0,0.36,-1.53,-0.85,-0.6,-0.41,-0.11,11661.39,1
"log_lik[120]",-1.18,0,0.32,-1.93,-1.36,-1.14,-0.96,-0.68,12762.21,1
"log_lik[121]",-2.27,0.01,0.69,-3.86,-2.66,-2.17,-1.78,-1.23,15364.22,1
"log_lik[122]",-1.47,0,0.37,-2.37,-1.68,-1.42,-1.21,-0.9,12209.91,1
"log_lik[123]",-3.25,0.01,1.28,-6.5,-3.87,-2.95,-2.31,-1.66,16176.16,1
"log_lik[124]",-0.86,0,0.42,-1.92,-1.06,-0.78,-0.57,-0.27,7582.43,1
"log_lik[125]",-0.85,0,0.37,-1.79,-1.02,-0.79,-0.6,-0.33,6647.85,1
"log_lik[126]",0.34,0,0.23,-0.17,0.2,0.36,0.5,0.74,10068.45,1
"log_lik[127]",-0.12,0,0.19,-0.56,-0.23,-0.09,0.02,0.18,8777.27,1
"log_lik[128]",-0.36,0,0.12,-0.67,-0.41,-0.33,-0.28,-0.2,7828.52,1
"log_lik[129]",-0.19,0,0.17,-0.6,-0.28,-0.16,-0.07,0.03,8798.56,1
"log_lik[130]",-0.1,0,0.32,-0.82,-0.27,-0.07,0.11,0.44,7096.35,1
"log_lik[131]",-0.85,0,0.5,-2.04,-1.13,-0.77,-0.5,-0.08,10490.69,1
"log_lik[132]",-0.72,0.01,0.51,-1.91,-1,-0.65,-0.37,0.08,8715.07,1
"log_lik[133]",-2.16,0.01,0.72,-3.85,-2.55,-2.05,-1.64,-1.07,14209.6,1
